Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-09,27-098,LAL,@,LAC,L (-13),0,12:32,0.0,4.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,-2.1,-16,2.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-2.0,83.0,5.1875,-2.1,57.8,3.6125
11,12,,2022-11-11,27-100,LAL,,SAC,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,84.0,5.25,0.0,58.69999999999999,3.6687499999999993
12,13,11,2022-11-13,27-102,LAL,,BRK,W (+13),0,10:36,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.9,-12,1.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-1.0,91.0,5.6875,-1.9,74.0,4.625
13,14,12,2022-11-18,27-107,LAL,,DET,W (+7),0,16:41,4.0,4.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,8.4,+5,2.0,2.0,1.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7.0,116.0,7.25,8.4,70.7,4.41875
14,15,13,2022-11-20,27-109,LAL,,SAS,W (+31),0,20:43,4.0,8.0,.500,3.0,6.0,.500,2,2.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,13.0,7.3,+12,2.0,1.0,0.5,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4.0,109.0,6.8125,6.499999999999998,66.2,4.1375
15,16,14,2022-11-22,27-111,LAL,@,PHO,L (-10),0,8:42,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1.4,-2,3.0,2.0,0.6666666666666666,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,75.0,4.6875,1.3999999999999997,46.900000000000006,2.9312500000000004
16,17,15,2022-11-25,27-114,LAL,@,SAS,W (+11),0,15:30,3.0,9.0,.333,1.0,5.0,.200,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,3.9,-6,4.0,2.0,0.5,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-1.0,130.0,8.125,3.1,75.49999999999999,4.718749999999999
17,18,16,2022-11-26,27-115,LAL,@,SAS,W (+5),0,15:02,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,4.2,+6,4.0,2.0,0.5,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.0,122.0,7.625,4.2,89.0,5.5625
18,19,17,2022-11-28,27-117,LAL,,IND,L (-1),0,11:24,1.0,5.0,.200,1.0,2.0,.500,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,+11,3.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,106.0,6.625,1.7,61.70000000000001,3.8562500000000006
19,20,18,2022-11-30,27-119,LAL,,POR,W (+19),0,14:12,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,+14,4.0,2.0,0.5,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,113.0,7.0625,0.5000000000000007,80.7,5.04375
