Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Louis King,2022-23,1,20.0,4.0,2.0,61.5,50.0,0.0,76.9,21.3,0.1
Corey Kispert,2022-23,74,11.1,2.8,1.2,49.7,42.4,85.2,63.7,11.5,3.8
Maxi Kleber,2022-23,37,5.9,3.6,1.4,45.6,34.8,71.1,57.1,8.7,1.3
Nathan Knight,2022-23,38,3.7,1.5,0.3,56.8,36.4,68.4,61.7,14.5,0.7
Kevin Knox,2022-23,63,6.6,2.8,0.5,45.8,34.9,76.7,55.6,11.1,0.7
Christian Koloko,2022-23,58,3.1,2.9,0.5,48.0,8.3,62.7,48.3,11.4,1.7
John Konchar,2022-23,72,5.1,4.3,1.4,43.1,33.9,77.8,52.5,10.8,3.5
Furkan Korkmaz,2022-23,37,3.8,1.1,0.6,43.2,39.1,72.2,51.4,9.3,0.1
Luke Kornet,2022-23,69,3.8,2.9,0.8,66.5,23.1,82.1,67.4,16.7,3.3
Vit Krejci,2022-23,29,1.2,0.9,0.6,40.5,23.8,50.0,47.3,7.7,0.1
Jonathan Kuminga,2022-23,67,9.9,3.4,1.9,52.5,37.0,65.2,57.9,13.3,2.4
Kyle Kuzma,2022-23,64,21.2,7.2,3.7,44.8,33.3,73.0,51.8,14.3,0.9
Jake LaRavia,2022-23,35,3.0,1.8,0.6,38.9,33.8,77.8,51.6,6.7,0.5
Zach LaVine,2022-23,77,24.8,4.5,4.2,48.5,37.5,84.8,55.8,19.0,7.1
Anthony Lamb,2022-23,62,6.7,3.5,1.5,47.1,36.7,76.7,58.8,10.9,2.4
Jock Landale,2022-23,69,6.6,4.1,1.0,52.8,25.0,75.2,55.9,16.4,2.7
Romeo Langford,2022-23,43,6.9,2.7,1.2,46.7,26.2,69.6,49.8,10.4,0.5
A.J. Lawson,2022-23,15,3.7,1.4,0.1,50.0,40.0,25.0,61.4,13.9,0.1
Caris LeVert,2022-23,74,12.1,3.8,3.9,43.1,39.2,72.2,51.7,12.4,4.4
Damion Lee,2022-23,74,8.2,3.0,1.3,44.2,44.5,90.4,56.4,10.7,2.6
Saben Lee,2022-23,25,6.0,1.8,2.7,40.5,36.7,73.7,45.0,13.1,0.7
Alex Len,2022-23,26,1.7,2.3,0.5,53.3,0.0,68.8,53.3,12.8,0.3
