,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1970-71,22.0,NYK,NBA,SG,56.0,251.0,5.6,0.438,,0.42,,,5.3,6.0,,,,,-0.1,0.3,0.2,0.034,
1,1971-72,23.0,TOT,TOT,SG,10.0,65.0,6.9,0.449,0.0,0.478,3.8,14.1,8.0,14.1,,30.8,20.1,,0.0,0.1,0.1,0.038,
2,1971-72,23.0,NYK,NBA,SG,6.0,40.0,13.6,0.504,,0.786,,,7.4,19.6,,,,,0.0,0.1,0.1,0.121,
3,1971-72,23.0,INA,ABA,SG,4.0,25.0,-3.9,0.333,0.0,0.0,3.8,14.1,9.1,5.2,,30.8,20.1,,-0.1,0.0,0.0,-0.096,
4,1972-73,24.0,PHI,NBA,SG,57.0,751.0,10.4,0.448,,0.156,,,6.9,13.3,,,,,-0.2,0.4,0.2,0.011,
5,Career,,,TOT,,123.0,1067.0,9.1,0.446,0.0,0.227,3.8,14.1,6.6,11.6,,30.8,20.1,,-0.3,0.7,0.4,0.018,
6,,,,NBA,,119.0,1042.0,9.4,0.448,,0.232,,,6.6,11.7,,,,,-0.3,0.7,0.5,0.021,
7,,,,ABA,,4.0,25.0,-3.9,0.333,0.0,0.0,3.8,14.1,9.1,5.2,,30.8,20.1,,-0.1,0.0,0.0,-0.096,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,NYK,NBA,,62.0,291.0,6.7,0.449,,0.474,,,5.6,7.9,,,,,-0.1,0.4,0.3,0.046,
10,1 season,,PHI,NBA,,57.0,751.0,10.4,0.448,,0.156,,,6.9,13.3,,,,,-0.2,0.4,0.2,0.011,
11,1 season,,INA,ABA,,4.0,25.0,-3.9,0.333,0.0,0.0,3.8,14.1,9.1,5.2,,30.8,20.1,,-0.1,0.0,0.0,-0.096,
