,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1973-74,23.0,BUF,NBA,PG,81.0,2910.0,13.6,0.459,0.153,1.7,5.7,3.7,30.1,0.9,0.2,,,,0.9,0.4,1.2,0.021,,-0.9,-2.9,-3.8,-1.3
1,1974-75,24.0,BUF,NBA,PG,31.0,712.0,12.3,0.475,0.192,0.9,5.4,3.2,28.1,1.2,0.0,,,,0.3,0.3,0.6,0.039,,-1.5,-1.8,-3.3,-0.2
2,1975-76,25.0,BUF,NBA,PG,67.0,1364.0,10.7,0.437,0.198,1.2,7.2,4.3,25.9,1.2,0.0,,,,-0.7,0.8,0.1,0.002,,-3.1,-1.7,-4.8,-1.0
3,1976-77,26.0,BUF,NBA,PG,81.0,2267.0,12.1,0.462,0.167,2.3,5.9,4.1,24.1,1.1,0.1,,,,0.7,0.5,1.3,0.027,,-1.3,-1.8,-3.1,-0.6
4,1977-78,27.0,TOT,NBA,PG,52.0,606.0,8.5,0.456,0.158,1.2,7.0,4.2,29.7,1.3,0.1,29.4,20.3,,-0.9,0.4,-0.6,-0.046,,-2.9,-2.1,-5.0,-0.5
5,1977-78,27.0,LAL,NBA,PG,25.0,332.0,7.1,0.45,0.2,1.6,5.4,3.5,26.1,0.8,0.0,29.7,18.2,,-0.5,0.1,-0.4,-0.052,,-3.0,-2.7,-5.8,-0.3
6,1977-78,27.0,BOS,NBA,PG,27.0,274.0,10.1,0.462,0.119,0.8,9.1,5.0,34.0,2.0,0.2,29.1,22.9,,-0.5,0.2,-0.2,-0.039,,-2.7,-1.3,-4.1,-0.2
7,Career,,,NBA,,312.0,7859.0,12.2,0.457,0.167,1.7,6.1,3.9,27.4,1.1,0.1,29.4,20.3,,0.3,2.3,2.5,0.016,,-1.6,-2.2,-3.8,-3.6
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,BUF,NBA,,260.0,7253.0,12.5,0.457,0.168,1.7,6.0,3.9,27.2,1.0,0.1,,,,1.2,1.9,3.1,0.021,,-1.5,-2.2,-3.7,-3.1
10,1 season,,BOS,NBA,,27.0,274.0,10.1,0.462,0.119,0.8,9.1,5.0,34.0,2.0,0.2,29.1,22.9,,-0.5,0.2,-0.2,-0.039,,-2.7,-1.3,-4.1,-0.2
11,1 season,,LAL,NBA,,25.0,332.0,7.1,0.45,0.2,1.6,5.4,3.5,26.1,0.8,0.0,29.7,18.2,,-0.5,0.1,-0.4,-0.052,,-3.0,-2.7,-5.8,-0.3
