,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1968-69,22.0,CIN,NBA,SF,56.0,497.0,8.7,0.43,0.342,,,,9.6,,,,-0.3,0.1,-0.2,-0.019,,,,,
1,1969-70,23.0,CIN,NBA,SF,74.0,2077.0,12.4,0.485,0.237,,,,7.1,,,,0.8,1.3,2.1,0.048,,,,,
2,1970-71,24.0,TOT,NBA,SF,67.0,909.0,9.6,0.445,0.288,,,7.5,8.9,,,,-0.4,0.8,0.4,0.022,,,,,
3,1970-71,24.0,CIN,NBA,SF,1.0,21.0,5.1,0.376,0.375,,,8.6,0.0,,,,0.0,0.0,0.0,-0.076,,,,,
4,1970-71,24.0,PHI,NBA,SF,66.0,888.0,9.7,0.447,0.286,,,7.4,9.2,,,,-0.3,0.8,0.5,0.024,,,,,
5,1971-72,25.0,PHI,NBA,SF,74.0,1699.0,12.2,0.466,0.29,,,7.3,7.6,,,,0.0,1.1,1.1,0.031,,,,,
6,1972-73,26.0,DET,NBA,SF,63.0,1460.0,8.1,0.411,0.139,,,6.1,8.5,,,,-1.8,0.9,-0.9,-0.031,,,,,
7,1973-74,27.0,CLE,NBA,SF,58.0,649.0,12.1,0.44,0.222,6.4,10.9,8.5,13.8,1.4,0.5,,0.0,0.4,0.3,0.026,,-1.9,-1.2,-3.0,-0.2
8,1974-75,28.0,CLE,NBA,SF,73.0,1136.0,11.5,0.446,0.186,5.2,5.1,5.1,13.6,0.9,0.1,,0.0,0.4,0.4,0.017,,-2.0,-2.0,-4.0,-0.6
9,1976-77,30.0,BUF,NBA,SF,59.0,689.0,7.7,0.428,0.178,4.8,6.3,5.6,9.8,1.0,0.0,,-0.4,0.2,-0.2,-0.017,,-4.2,-1.7,-5.9,-0.7
10,Career,,,NBA,,524.0,9116.0,10.7,0.452,0.231,5.4,6.9,6.6,9.2,1.1,0.2,,-2.2,5.1,2.9,0.016,,-2.6,-1.7,-4.3,-1.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,PHI,NBA,,140.0,2587.0,11.4,0.46,0.289,,,7.4,8.1,,,,-0.3,1.9,1.6,0.029,,,,,
13,2 seasons,,CLE,NBA,,131.0,1785.0,11.7,0.444,0.199,5.7,7.2,6.4,13.7,1.1,0.2,,0.0,0.8,0.7,0.02,,-2.0,-1.7,-3.7,-0.8
14,3 seasons,,CIN,NBA,,131.0,2595.0,11.6,0.475,0.254,,,8.6,7.5,,,,0.4,1.4,1.8,0.034,,,,,
15,1 season,,DET,NBA,,63.0,1460.0,8.1,0.411,0.139,,,6.1,8.5,,,,-1.8,0.9,-0.9,-0.031,,,,,
16,1 season,,BUF,NBA,,59.0,689.0,7.7,0.428,0.178,4.8,6.3,5.6,9.8,1.0,0.0,,-0.4,0.2,-0.2,-0.017,,-4.2,-1.7,-5.9,-0.7
