,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1968-69,23.0,SDR,NBA,SF,25.0,142.0,10.9,0.415,,0.363,,,,4.8,,,,,,-0.2,0.2,0.0,0.007,
1,1969-70,24.0,SDR,NBA,SF,70.0,1025.0,10.6,0.461,,0.24,,,,6.0,,,,,,-0.3,1.5,1.2,0.057,
2,1970-71,25.0,SDR,NBA,SF,82.0,2080.0,10.5,0.463,,0.245,,,10.7,8.9,,,,,,0.1,3.2,3.3,0.077,
3,1971-72,26.0,LAL,NBA,SF,58.0,759.0,11.0,0.475,,0.232,,,10.5,6.8,,,,,,0.2,1.1,1.2,0.078,
4,1972-73,27.0,TOT,TOT,SF,68.0,1231.0,10.8,0.454,0.004,0.281,7.9,13.8,10.2,8.1,,,15.0,18.8,,-0.4,1.0,0.6,0.022,
5,1972-73,27.0,TOT,NBA,SF,44.0,889.0,12.3,0.456,,0.29,,,10.0,8.0,,,,,,-0.1,0.5,0.4,0.021,
6,1972-73,27.0,LAL,NBA,SF,5.0,35.0,9.5,0.396,,0.833,,,18.2,6.6,,,,,,-0.1,0.1,0.0,0.009,
7,1972-73,27.0,PHI,NBA,SF,39.0,854.0,12.4,0.458,,0.275,,,9.7,8.1,,,,,,0.0,0.4,0.4,0.021,
8,1972-73,27.0,DNR,ABA,SF,24.0,342.0,6.9,0.447,0.016,0.25,7.9,13.8,10.8,8.4,,,15.0,18.8,,-0.3,0.5,0.2,0.025,
9,Career,,,TOT,,303.0,5237.0,10.7,0.46,0.001,0.256,7.9,13.8,10.5,7.7,,,15.0,18.8,,-0.6,7.0,6.4,0.058,
10,,,,NBA,,279.0,4895.0,11.0,0.461,,0.256,,,10.5,7.7,,,,,,-0.3,6.5,6.2,0.061,
11,,,,ABA,,24.0,342.0,6.9,0.447,0.016,0.25,7.9,13.8,10.8,8.4,,,15.0,18.8,,-0.3,0.5,0.2,0.025,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,SDR,NBA,,177.0,3247.0,10.6,0.459,,0.251,,,10.7,7.8,,,,,,-0.4,5.0,4.6,0.068,
14,2 seasons,,LAL,NBA,,63.0,794.0,10.9,0.472,,0.255,,,10.8,6.8,,,,,,0.1,1.1,1.2,0.075,
15,1 season,,PHI,NBA,,39.0,854.0,12.4,0.458,,0.275,,,9.7,8.1,,,,,,0.0,0.4,0.4,0.021,
16,1 season,,DNR,ABA,,24.0,342.0,6.9,0.447,0.016,0.25,7.9,13.8,10.8,8.4,,,15.0,18.8,,-0.3,0.5,0.2,0.025,
