,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1971-72,22.0,NYA,ABA,,1,1,-52.7,,,,0.0,0.0,0.0,0.0,,100.0,39.0,,0.0,0.0,0.0,0.008,
1,Career,,,ABA,,1,1,-52.7,,,,0.0,0.0,0.0,0.0,,100.0,39.0,,0.0,0.0,0.0,0.008,
