,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,24.0,MNL,BAA,C,60,,,0.498,0.491,,,,,,17.6,3.2,20.9,,
1,1949-50,25.0,MNL,NBA,C,68,,,0.487,0.456,,,,,,15.3,5.8,21.1,,
2,1950-51,26.0,MNL,NBA,C,68,,,0.509,0.453,,,,,,16.0,7.4,23.4,,
3,1951-52,27.0,MNL,NBA,C,64,2572.0,26.6,0.459,0.393,,,,,,6.4,8.0,14.4,0.268,
4,1952-53,28.0,MNL,NBA,C,70,2651.0,28.5,0.48,0.453,,,,,,7.7,6.9,14.6,0.264,
5,1953-54,29.0,MNL,NBA,C,72,2362.0,29.0,0.466,0.471,,,,,,6.1,6.6,12.7,0.258,
6,1955-56,31.0,MNL,NBA,C,37,765.0,17.9,0.455,0.325,,,,,,0.8,0.8,1.6,0.098,
7,Career,,,TOT,,439,8350.0,27.1,0.483,0.447,,,,,,70.0,38.7,108.7,0.249,
8,,,,NBA,,379,8350.0,27.1,0.48,0.438,,,,,,52.4,35.4,87.8,0.249,
9,,,,BAA,,60,,,0.498,0.491,,,,,,17.6,3.2,20.9,,
