,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,23.0,SHE,NBA,,13,,,0.329,0.569,,,,,,-0.2,0.0,-0.2,,
1,Career,,,NBA,,13,,,0.329,0.569,,,,,,-0.2,0.0,-0.2,,
