,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1971-72,23.0,CHI,NBA,SF,43.0,405.0,6.7,0.36,0.262,,,10.5,5.9,,,,-1.2,0.7,-0.4,-0.051,,,,,
1,1972-73,24.0,TOT,NBA,SF,59.0,1138.0,6.1,0.364,0.196,,,9.7,6.2,,,,-2.0,0.4,-1.6,-0.068,,,,,
2,1972-73,24.0,CHI,NBA,SF,3.0,33.0,16.9,0.576,0.154,,,13.6,4.8,,,,0.1,0.1,0.2,0.225,,,,,
3,1972-73,24.0,SEA,NBA,SF,56.0,1105.0,5.8,0.356,0.198,,,9.6,6.2,,,,-2.1,0.4,-1.8,-0.077,,,,,
4,1973-74,25.0,SEA,NBA,SF,69.0,2056.0,7.3,0.412,0.187,5.0,12.4,8.5,5.7,1.1,0.7,,-0.7,1.4,0.7,0.017,,-2.8,-0.4,-3.1,-0.6
5,1974-75,26.0,SEA,NBA,SF,6.0,101.0,4.7,0.273,0.31,6.1,9.2,7.6,8.5,1.8,1.6,,-0.3,0.1,-0.2,-0.084,,-4.2,-0.3,-4.5,-0.1
6,Career,,,NBA,,177.0,3700.0,6.8,0.386,0.204,5.1,12.2,9.1,5.9,1.1,0.8,,-4.1,2.6,-1.5,-0.02,,-2.9,-0.4,-3.2,-0.7
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,SEA,NBA,,131.0,3262.0,6.7,0.388,0.195,5.1,12.2,8.8,6.0,1.1,0.8,,-3.1,1.8,-1.2,-0.018,,-2.9,-0.4,-3.2,-0.7
9,2 seasons,,CHI,NBA,,46.0,438.0,7.4,0.375,0.254,,,10.7,5.8,,,,-1.1,0.8,-0.3,-0.031,,,,,
