,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1965-66,22.0,NYK,NBA,SG,79.0,2289.0,11.7,0.488,0.419,,,,10.5,,,,2.1,0.5,2.6,0.055,,,,,
1,1966-67,23.0,NYK,NBA,SG,79.0,2892.0,13.3,0.524,0.558,,,,10.8,,,,4.3,1.0,5.2,0.087,,,,,
2,1967-68,24.0,NYK,NBA,SG,78.0,2348.0,11.7,0.491,0.468,,,,12.4,,,,1.7,2.1,3.8,0.077,,,,,
3,1968-69,25.0,PHO,NBA,SG,80.0,3388.0,15.1,0.503,0.465,,,,15.9,,,,4.7,1.0,5.6,0.08,,,,,
4,1969-70,26.0,PHO,NBA,SG,77.0,2966.0,16.0,0.579,0.493,,,,15.6,,,,8.0,0.9,9.0,0.145,,,,,
5,1970-71,27.0,PHO,NBA,SG,81.0,3157.0,16.5,0.538,0.507,,,4.6,15.0,,,,7.1,3.1,10.2,0.155,,,,,
6,1971-72,28.0,PHO,NBA,SG,82.0,3096.0,16.0,0.557,0.531,,,5.2,13.2,,,,7.4,3.0,10.4,0.161,,,,,
7,1972-73,29.0,PHO,NBA,SG,81.0,2979.0,15.4,0.558,0.444,,,5.3,12.2,,,,7.4,1.4,8.7,0.141,,,,,
8,1973-74,30.0,PHO,NBA,SG,78.0,2832.0,15.5,0.572,0.411,2.4,5.5,3.9,15.9,1.5,0.3,,6.6,0.5,7.0,0.119,,0.9,-1.1,-0.2,1.3
9,1974-75,31.0,PHO,NBA,SG,70.0,2419.0,14.3,0.538,0.379,2.2,5.9,4.0,11.9,1.5,0.2,,4.6,1.2,5.9,0.116,,0.0,-0.5,-0.5,0.9
10,1975-76,32.0,PHO,NBA,SG,58.0,1870.0,12.4,0.555,0.412,2.3,5.6,4.0,10.5,1.3,0.3,,3.1,0.9,4.0,0.102,,-0.4,-1.0,-1.3,0.3
11,1976-77,33.0,PHO,NBA,SG,78.0,1535.0,11.1,0.524,0.333,2.2,6.0,4.1,10.9,1.0,0.2,,1.7,1.1,2.7,0.086,,-1.2,-0.8,-1.9,0.0
12,Career,,,NBA,,921.0,31771.0,14.4,0.537,0.462,2.3,5.7,4.5,13.2,1.4,0.3,,58.6,16.7,75.2,0.114,,0.0,-0.8,-0.8,2.6
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9 seasons,,PHO,NBA,,685.0,24242.0,15.0,0.547,0.456,2.3,5.7,4.5,13.8,1.4,0.3,,50.5,13.1,63.6,0.126,,0.0,-0.8,-0.8,2.6
15,3 seasons,,NYK,NBA,,236.0,7529.0,12.3,0.503,0.484,,,,11.2,,,,8.0,3.6,11.6,0.074,,,,,
