,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,22.0,OAK,ABA,PG,77.0,1894.0,7.6,0.427,0.058,0.298,,,3.8,8.8,12.3,18.7,,-0.8,0.3,-0.5,-0.012,
1,1968-69,23.0,TOT,ABA,SG,36.0,742.0,13.6,0.527,0.022,0.452,,,6.6,8.2,14.0,18.4,,1.1,0.6,1.7,0.107,
2,1968-69,23.0,OAK,ABA,,3.0,24.0,15.7,0.581,0.0,0.333,,,7.4,16.6,16.2,17.5,,0.1,0.0,0.1,0.165,
3,1968-69,23.0,MMF,ABA,SG,33.0,718.0,13.6,0.526,0.023,0.456,,,6.6,7.9,13.9,18.5,,1.0,0.5,1.6,0.105,
4,1969-70,24.0,TOT,ABA,SG,81.0,2150.0,13.0,0.48,0.014,0.288,,,5.2,11.0,12.0,20.3,,0.8,1.5,2.3,0.052,
5,1969-70,24.0,MMF,ABA,SG,32.0,617.0,12.3,0.507,0.008,0.447,,,4.1,8.8,15.1,20.8,,0.7,0.4,1.0,0.078,
6,1969-70,24.0,LAS,ABA,SG,49.0,1533.0,13.2,0.47,0.016,0.229,,,5.7,11.9,10.7,20.1,,0.1,1.2,1.3,0.041,
7,Career,,,ABA,,194.0,4786.0,10.9,0.467,0.032,0.315,,,4.9,9.7,12.4,19.4,,1.1,2.4,3.5,0.035,
8,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,OAK,ABA,,80.0,1918.0,7.7,0.429,0.058,0.298,,,3.9,8.9,12.4,18.7,,-0.7,0.3,-0.4,-0.01,
10,2 seasons,,MMF,ABA,,65.0,1335.0,13.0,0.517,0.016,0.452,,,5.4,8.4,14.5,19.5,,1.7,0.9,2.6,0.093,
11,1 season,,LAS,ABA,,49.0,1533.0,13.2,0.47,0.016,0.229,,,5.7,11.9,10.7,20.1,,0.1,1.2,1.3,0.041,
