,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,22.0,SYR,NBA,,60.0,,,0.365,0.33,,,,,,-0.3,1.6,1.2,,
1,1950-51,23.0,TOT,NBA,,34.0,,,0.346,0.362,,,,,,-0.5,0.5,0.0,,
2,1950-51,23.0,BLB,NBA,,16.0,,,0.306,0.388,,,,,,-0.5,0.2,-0.3,,
3,1950-51,23.0,TRI,NBA,,18.0,,,0.378,0.341,,,,,,0.0,0.3,0.3,,
4,1952-53,25.0,FTW,NBA,,8.0,65.0,-6.9,0.206,0.25,,,,,,-0.4,0.0,-0.4,-0.265,
5,Career,,,NBA,,102.0,65.0,-6.9,0.353,0.335,,,,,,-1.3,2.2,0.9,-0.265,
6,,,,,,,,,,,,,,,,,,,,
7,1 season,,SYR,NBA,,60.0,,,0.365,0.33,,,,,,-0.3,1.6,1.2,,
8,1 season,,TRI,NBA,,18.0,,,0.378,0.341,,,,,,0.0,0.3,0.3,,
9,1 season,,BLB,NBA,,16.0,,,0.306,0.388,,,,,,-0.5,0.2,-0.3,,
10,1 season,,FTW,NBA,,8.0,65.0,-6.9,0.206,0.25,,,,,,-0.4,0.0,-0.4,-0.265,
