,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1966-67,22.0,NYK,NBA,PF,50.0,453.0,8.5,0.39,,0.161,,,,7.4,,,,-0.9,0.2,-0.7,-0.073,
1,1967-68,23.0,SEA,NBA,C,36.0,259.0,6.5,0.372,,0.226,,,,7.0,,,,-0.7,0.1,-0.6,-0.103,
2,1968-69,24.0,KEN,ABA,PF,2.0,25.0,-1.3,0.376,0.5,0.75,,,7.0,5.0,42.9,13.8,,0.0,0.0,0.0,-0.002,
3,Career,,,TOT,,88.0,737.0,7.4,0.383,0.005,0.191,,,7.0,7.1,42.9,13.8,,-1.6,0.3,-1.2,-0.081,
4,,,,NBA,,86.0,712.0,7.8,0.383,,0.185,,,,7.2,,,,-1.5,0.3,-1.2,-0.084,
5,,,,ABA,,2.0,25.0,-1.3,0.376,0.5,0.75,,,7.0,5.0,42.9,13.8,,0.0,0.0,0.0,-0.002,
6,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,NYK,NBA,,50.0,453.0,8.5,0.39,,0.161,,,,7.4,,,,-0.9,0.2,-0.7,-0.073,
8,1 season,,SEA,NBA,,36.0,259.0,6.5,0.372,,0.226,,,,7.0,,,,-0.7,0.1,-0.6,-0.103,
9,1 season,,KEN,ABA,,2.0,25.0,-1.3,0.376,0.5,0.75,,,7.0,5.0,42.9,13.8,,0.0,0.0,0.0,-0.002,
