,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1954-55,22.0,ROC,NBA,C,70.0,1127.0,13.2,0.455,0.391,,,,,,1.0,0.7,1.7,0.074,
1,1955-56,23.0,ROC,NBA,C,72.0,1640.0,12.7,0.452,0.413,,,,,,1.2,2.5,3.7,0.107,
2,1956-57,24.0,ROC,NBA,C,69.0,1176.0,12.3,0.427,0.215,,,,,,0.4,1.4,1.8,0.073,
3,1957-58,25.0,TOT,NBA,C,67.0,1305.0,9.9,0.448,0.446,,,,,,0.9,0.5,1.4,0.053,
4,1957-58,25.0,MNL,NBA,,50.0,1098.0,10.4,0.456,0.425,,,,,,1.0,0.4,1.4,0.06,
5,1957-58,25.0,NYK,NBA,C,17.0,207.0,6.8,0.407,0.561,,,,,,0.0,0.1,0.1,0.017,
6,Career,,,NBA,,278.0,5248.0,12.0,0.445,0.359,,,,,,3.5,5.1,8.6,0.079,
7,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,ROC,NBA,,211.0,3943.0,12.7,0.444,0.335,,,,,,2.6,4.6,7.2,0.087,
9,1 season,,MNL,NBA,,50.0,1098.0,10.4,0.456,0.425,,,,,,1.0,0.4,1.4,0.06,
10,1 season,,NYK,NBA,,17.0,207.0,6.8,0.407,0.561,,,,,,0.0,0.1,0.1,0.017,
