,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1962-63,24.0,STL,NBA,SG,77.0,2692.0,11.7,0.474,,0.304,,,,,,,,,1.3,3.3,4.6,0.082,
1,1963-64,25.0,STL,NBA,SG,74.0,1367.0,10.1,0.437,,0.228,,,,,,,,,-0.2,1.2,1.0,0.034,
2,1964-65,26.0,STL,NBA,SG,41.0,777.0,10.1,0.419,,0.224,,,,14.1,,,,,-0.4,0.8,0.4,0.022,
3,1965-66,27.0,TOT,NBA,PG,76.0,1617.0,10.8,0.436,,0.304,,,,16.3,,,,,-0.3,1.5,1.1,0.034,
4,1965-66,27.0,STL,NBA,PG,31.0,691.0,11.8,0.466,,0.354,,,,16.5,,,,,0.3,0.5,0.9,0.059,
5,1965-66,27.0,DET,NBA,PG,45.0,926.0,10.0,0.415,,0.27,,,,16.2,,,,,-0.7,0.9,0.3,0.015,
6,1966-67,28.0,BAL,NBA,PG,53.0,1214.0,10.6,0.447,,0.23,,,,14.3,,,,,-0.1,0.8,0.7,0.026,
7,1967-68,29.0,SDR,NBA,PG,75.0,1883.0,11.4,0.463,,0.334,,,,18.4,,,,,0.3,1.4,1.7,0.044,
8,1968-69,30.0,BAL,NBA,PG,30.0,504.0,11.4,0.469,,0.371,,,,17.5,,,,,0.2,0.7,1.0,0.091,
9,1969-70,31.0,INA,ABA,SG,77.0,2374.0,10.4,0.473,0.33,0.289,,,3.3,17.6,,14.5,17.4,,0.5,1.9,2.5,0.05,
10,1970-71,32.0,TOT,ABA,PG,67.0,1303.0,9.3,0.441,0.296,0.27,,,3.9,15.4,,12.5,17.6,,-0.8,1.1,0.3,0.01,
11,1970-71,32.0,INA,ABA,PG,43.0,619.0,7.9,0.403,0.311,0.253,,,4.5,16.7,,12.7,18.6,,-0.9,0.6,-0.3,-0.025,
12,1970-71,32.0,DNR,ABA,PG,24.0,684.0,10.5,0.477,0.282,0.286,,,3.4,14.2,,12.2,16.7,,0.1,0.5,0.6,0.042,
13,1971-72,33.0,INA,ABA,PG,19.0,194.0,4.9,0.363,0.402,0.172,3.9,5.0,4.5,11.1,,11.4,21.0,,-0.6,0.2,-0.4,-0.11,
14,Career,,,TOT,,589.0,13925.0,10.7,0.453,0.091,0.283,3.9,5.0,3.6,16.4,,13.6,17.7,,-0.1,12.8,12.7,0.044,
15,,,,NBA,,426.0,10054.0,11.0,0.452,,0.286,,,,16.4,,,,,0.8,9.6,10.4,0.05,
16,,,,ABA,,163.0,3871.0,9.8,0.456,0.323,0.275,3.9,5.0,3.6,16.5,,13.6,17.7,,-0.9,3.2,2.3,0.028,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,STL,NBA,,223.0,5527.0,11.1,0.455,,0.277,,,,15.2,,,,,1.0,5.8,6.8,0.059,
19,3 seasons,,INA,ABA,,139.0,3187.0,9.6,0.451,0.332,0.273,3.9,5.0,3.6,17.0,,13.9,17.9,,-1.0,2.7,1.7,0.025,
20,2 seasons,,BAL,NBA,,83.0,1718.0,10.8,0.453,,0.27,,,,15.2,,,,,0.1,1.5,1.6,0.045,
21,1 season,,SDR,NBA,,75.0,1883.0,11.4,0.463,,0.334,,,,18.4,,,,,0.3,1.4,1.7,0.044,
22,1 season,,DET,NBA,,45.0,926.0,10.0,0.415,,0.27,,,,16.2,,,,,-0.7,0.9,0.3,0.015,
23,1 season,,DNR,ABA,,24.0,684.0,10.5,0.477,0.282,0.286,,,3.4,14.2,,12.2,16.7,,0.1,0.5,0.6,0.042,
