,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1976-77,23.0,WSB,NBA,C,30,119,16.5,0.472,0.527,14.1,15.2,14.7,4.9,0.8,7.3,,,,-0.1,0.2,0.1,0.054,,-4.3,0.7,-3.6,0.0
1,1977-78,24.0,WSB,NBA,C,49,438,13.7,0.528,0.664,11.2,19.1,15.1,7.0,1.2,2.4,19.6,19.3,,0.3,0.6,0.9,0.102,,-2.3,0.6,-1.7,0.0
2,Career,,,NBA,,79,557,14.3,0.513,0.626,11.9,18.3,15.0,6.6,1.1,3.4,19.6,19.3,,0.3,0.8,1.1,0.092,,-2.7,0.6,-2.1,0.0
