,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1966-67,23.0,NYK,NBA,PF,51.0,522.0,9.4,0.419,,0.503,,,,8.9,,,,,,-0.4,0.2,-0.2,-0.014,
1,1967-68,24.0,NYK,NBA,PF,43.0,286.0,10.5,0.437,,0.453,,,,14.9,,,,,,-0.1,0.3,0.2,0.032,
2,1968-69,25.0,PHO,NBA,PF,80.0,1319.0,13.1,0.52,,0.481,,,,13.4,,,,,,1.7,0.5,2.2,0.08,
3,1969-70,26.0,PHO,NBA,PF,28.0,136.0,6.8,0.368,,0.2,,,,11.3,,,,,,-0.3,0.1,-0.3,-0.096,
4,1970-71,27.0,VIR,ABA,PF,78.0,1838.0,19.1,0.568,0.003,0.342,,,16.7,12.6,,,15.7,19.9,,4.0,2.3,6.3,0.165,
5,1971-72,28.0,VIR,ABA,PF,31.0,874.0,13.8,0.512,0.011,0.344,10.9,17.7,14.3,11.0,,,17.6,15.7,,0.6,1.3,1.9,0.105,
6,1972-73,29.0,VIR,ABA,PF,69.0,1442.0,11.4,0.525,0.002,0.364,10.6,13.9,12.3,13.9,,,20.8,16.1,,1.1,1.4,2.5,0.082,
7,Career,,,TOT,,380.0,6417.0,14.0,0.52,0.003,0.384,10.7,15.4,14.6,12.6,,,17.7,17.7,,6.5,6.1,12.6,0.095,
8,,,,NBA,,202.0,2263.0,11.5,0.471,,0.458,,,,12.4,,,,,,0.8,1.1,2.0,0.042,
9,,,,ABA,,178.0,4154.0,15.3,0.545,0.004,0.349,10.7,15.4,14.6,12.7,,,17.7,17.7,,5.7,5.0,10.7,0.123,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,VIR,ABA,,178.0,4154.0,15.3,0.545,0.004,0.349,10.7,15.4,14.6,12.7,,,17.7,17.7,,5.7,5.0,10.7,0.123,
12,2 seasons,,PHO,NBA,,108.0,1455.0,12.5,0.501,,0.442,,,,13.2,,,,,,1.4,0.6,1.9,0.063,
13,2 seasons,,NYK,NBA,,94.0,808.0,9.8,0.426,,0.484,,,,11.0,,,,,,-0.5,0.5,0.0,0.002,
