,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1968-69,24.0,LAS,ABA,C,58.0,1662.0,13.1,0.5,0.002,0.553,,,14.8,5.1,15.7,17.8,,1.3,1.1,2.4,0.069,
1,1969-70,25.0,NYA,ABA,C,74.0,2486.0,14.7,0.505,0.002,0.476,,,17.0,5.0,17.5,18.8,,2.1,3.0,5.1,0.099,
2,1970-71,26.0,TOT,ABA,C,34.0,751.0,13.3,0.497,0.0,0.491,,,17.1,6.0,19.1,19.9,,0.4,0.6,1.0,0.064,
3,1970-71,26.0,NYA,ABA,C,26.0,592.0,14.2,0.503,0.0,0.505,,,18.3,6.0,19.9,21.4,,0.4,0.5,0.9,0.071,
4,1970-71,26.0,TEX,ABA,C,8.0,159.0,9.9,0.466,0.0,0.426,,,12.9,6.0,15.2,14.6,,0.0,0.1,0.1,0.038,
5,Career,,,ABA,,166.0,4899.0,14.0,0.502,0.002,0.504,,,16.2,5.2,17.2,18.7,,3.9,4.7,8.5,0.084,
6,,,,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,NYA,ABA,,100.0,3078.0,14.6,0.505,0.002,0.482,,,17.2,5.2,18.0,19.3,,2.6,3.5,6.0,0.094,
8,1 season,,LAS,ABA,,58.0,1662.0,13.1,0.5,0.002,0.553,,,14.8,5.1,15.7,17.8,,1.3,1.1,2.4,0.069,
9,1 season,,TEX,ABA,,8.0,159.0,9.9,0.466,0.0,0.426,,,12.9,6.0,15.2,14.6,,0.0,0.1,0.1,0.038,
