,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1965-66,22.0,STL,NBA,PF,65.0,1104.0,10.0,0.431,0.305,,,,5.3,,,,-0.5,1.0,0.5,0.023,,,,,
1,1966-67,23.0,CHI,NBA,PF,77.0,1475.0,11.4,0.439,0.263,,,,5.1,,,,-0.6,1.9,1.3,0.041,,,,,
2,1967-68,24.0,CHI,NBA,C,82.0,2525.0,14.7,0.494,0.299,,,,6.3,,,,2.0,2.9,4.9,0.093,,,,,
3,1968-69,25.0,CHI,NBA,SF,80.0,2705.0,14.7,0.475,0.348,,,,5.6,,,,1.5,4.0,5.4,0.097,,,,,
4,1969-70,26.0,PHI,NBA,PF,79.0,2459.0,13.0,0.523,0.324,,,,5.1,,,,2.5,2.9,5.5,0.107,,,,,
5,1970-71,27.0,PHI,NBA,PF,78.0,2501.0,14.3,0.536,0.41,,,13.4,5.1,,,,3.9,2.8,6.7,0.129,,,,,
6,1971-72,28.0,TOT,NBA,PF,84.0,2961.0,12.0,0.507,0.365,,,12.0,6.5,,,,2.4,1.9,4.3,0.07,,,,,
7,1971-72,28.0,PHI,NBA,PF,17.0,545.0,11.5,0.515,0.429,,,11.2,5.9,,,,0.5,0.4,0.9,0.084,,,,,
8,1971-72,28.0,ATL,NBA,PF,67.0,2416.0,12.2,0.506,0.351,,,12.1,6.7,,,,1.9,1.5,3.4,0.067,,,,,
9,1972-73,29.0,ATL,NBA,PF,75.0,2833.0,10.7,0.48,0.314,,,13.5,7.5,,,,1.0,2.6,3.6,0.06,,,,,
10,1973-74,30.0,ATL,NBA,PF,73.0,2519.0,11.9,0.521,0.32,8.1,21.5,14.7,7.8,0.8,1.5,,2.2,2.5,4.7,0.09,,-0.6,-0.1,-0.6,0.9
11,1974-75,31.0,TOT,NBA,PF,80.0,1579.0,10.8,0.481,0.221,6.9,17.9,12.3,9.3,1.0,0.8,,1.0,1.4,2.4,0.072,,-1.1,0.0,-1.1,0.4
12,1974-75,31.0,ATL,NBA,PF,38.0,905.0,10.9,0.475,0.212,5.3,16.1,10.4,10.2,1.1,0.8,,0.7,0.7,1.3,0.071,,-0.8,0.1,-0.7,0.3
13,1974-75,31.0,BUF,NBA,PF,42.0,674.0,10.6,0.49,0.235,9.1,20.2,14.9,8.1,0.7,1.0,,0.3,0.7,1.0,0.074,,-1.4,-0.2,-1.6,0.1
14,1975-76,32.0,BUF,NBA,PF,1.0,7.0,3.7,0.0,0.0,15.4,0.0,7.5,16.2,0.0,0.0,,0.0,0.0,0.0,-0.017,,-4.3,-0.1,-4.5,0.0
15,Career,,,NBA,,774.0,22668.0,12.6,0.494,0.326,7.7,20.1,13.2,6.4,0.9,1.3,,15.5,23.8,39.3,0.083,,-0.8,0.0,-0.8,1.3
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,"STL,ATL",NBA,,318.0,9777.0,11.3,0.489,0.314,7.4,20.1,13.1,7.4,0.9,1.3,,5.3,8.2,13.5,0.066,,-0.6,0.0,-0.6,1.2
18,3 seasons,,CHI,NBA,,239.0,6705.0,14.0,0.473,0.31,,,,5.7,,,,2.9,8.7,11.6,0.083,,,,,
19,3 seasons,,PHI,NBA,,174.0,5505.0,13.4,0.528,0.372,,,13.0,5.2,,,,7.0,6.1,13.1,0.114,,,,,
20,2 seasons,,BUF,NBA,,43.0,681.0,10.5,0.487,0.233,9.2,20.0,14.8,8.2,0.7,0.9,,0.3,0.7,1.0,0.073,,-1.4,-0.2,-1.6,0.1
