,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1961-62,24.0,SYR,NBA,PG,77.0,1265.0,11.8,0.5,0.429,,,,,,1.6,1.6,3.2,0.123,
1,1962-63,25.0,SYR,NBA,PG,80.0,1581.0,13.4,0.545,0.441,,,,,,3.0,1.5,4.6,0.139,
2,1963-64,26.0,PHI,NBA,PG,74.0,1973.0,14.3,0.505,0.363,,,,,,2.9,1.3,4.2,0.103,
3,1964-65,27.0,TOT,NBA,PG,76.0,2034.0,14.9,0.532,0.392,,,,16.6,,4.7,1.7,6.5,0.153,
4,1964-65,27.0,PHI,NBA,PG,40.0,1100.0,16.8,0.557,0.424,,,,18.4,,3.4,0.8,4.2,0.185,
5,1964-65,27.0,SFW,NBA,PG,36.0,934.0,12.7,0.5,0.352,,,,14.5,,1.4,0.9,2.2,0.115,
6,1965-66,28.0,SFW,NBA,PG,66.0,1729.0,14.8,0.497,0.388,,,,14.6,,2.5,1.5,4.0,0.112,
7,1966-67,29.0,SFW,NBA,PG,78.0,2421.0,13.0,0.501,0.428,,,,17.4,,2.8,3.0,5.8,0.115,
8,Career,,,NBA,,451.0,11003.0,13.8,0.512,0.404,,,,16.3,,17.7,10.7,28.3,0.124,
9,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,"SYR,PHI",NBA,,271.0,5919.0,14.0,0.525,0.408,,,,18.4,,11.0,5.3,16.3,0.132,
11,3 seasons,,SFW,NBA,,180.0,5084.0,13.6,0.499,0.4,,,,15.9,,6.7,5.4,12.1,0.114,
