,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1956-57,22.0,ROC,NBA,PG,72.0,1560.0,10.5,0.437,0.42,,,,,,0.9,1.7,2.6,0.081,
1,1958-59,24.0,CIN,NBA,PG,47.0,1827.0,10.5,0.413,0.265,,,,,,-0.1,0.6,0.5,0.014,
2,1959-60,25.0,STL,NBA,SG,75.0,2383.0,7.7,0.379,0.31,,,,,,-1.8,1.7,-0.1,-0.002,
3,1960-61,26.0,STL,NBA,PG,79.0,2519.0,8.3,0.387,0.303,,,,,,-1.5,3.4,1.9,0.036,
4,1961-62,27.0,STL,NBA,PG,15.0,333.0,5.8,0.283,0.37,,,,,,-0.6,0.2,-0.4,-0.064,
5,1963-64,29.0,BOS,NBA,PG,28.0,206.0,4.8,0.344,0.271,,,,,,-0.3,0.5,0.2,0.056,
6,Career,,,NBA,,316.0,8828.0,8.8,0.396,0.317,,,,,,-3.4,8.1,4.7,0.026,
7,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,STL,NBA,,169.0,5235.0,7.9,0.378,0.309,,,,,,-3.9,5.2,1.3,0.012,
9,2 seasons,,"ROC,CIN",NBA,,119.0,3387.0,10.5,0.423,0.329,,,,,,0.8,2.4,3.2,0.045,
10,1 season,,BOS,NBA,,28.0,206.0,4.8,0.344,0.271,,,,,,-0.3,0.5,0.2,0.056,
