,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1974-75,21.0,MIL,NBA,SG,73.0,1639.0,12.2,0.499,0.358,2.4,6.8,4.7,18.5,0.9,0.6,,,,0.8,0.8,1.6,0.047,,-1.6,-1.1,-2.6,-0.3
1,1975-76,22.0,MIL,NBA,SG,75.0,1468.0,14.9,0.511,0.437,1.9,6.8,4.4,23.6,1.2,0.6,,,,1.3,0.7,1.9,0.064,,-0.2,-1.3,-1.6,0.2
2,1976-77,23.0,TOT,NBA,SG,80.0,1487.0,13.5,0.49,0.388,1.5,7.1,4.2,21.0,1.1,1.3,,,,1.0,0.6,1.6,0.052,,-0.7,-0.9,-1.6,0.1
3,1976-77,23.0,MIL,NBA,SG,41.0,891.0,11.7,0.475,0.423,1.2,6.3,3.7,15.9,1.1,1.3,,,,0.2,0.2,0.3,0.019,,-1.5,-1.3,-2.8,-0.2
4,1976-77,23.0,CLE,NBA,SG,39.0,596.0,16.3,0.511,0.342,2.0,8.3,5.0,28.7,1.1,1.2,,,,0.8,0.5,1.3,0.101,,0.5,-0.4,0.1,0.3
5,1977-78,24.0,BUF,NBA,SG,13.0,130.0,13.3,0.504,0.558,2.5,7.4,5.0,21.3,1.1,2.0,18.3,20.1,,0.1,0.1,0.1,0.053,,-1.4,-0.2,-1.6,0.1
6,Career,,,NBA,,241.0,4724.0,13.5,0.5,0.399,1.9,6.9,4.5,21.0,1.0,0.8,18.3,20.1,,3.1,2.2,5.3,0.054,,-0.9,-1.1,-2.0,0.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,MIL,NBA,,189.0,3998.0,13.1,0.498,0.404,1.9,6.7,4.4,19.8,1.0,0.7,,,,2.3,1.6,3.9,0.047,,-1.1,-1.2,-2.3,-0.3
9,1 season,,CLE,NBA,,39.0,596.0,16.3,0.511,0.342,2.0,8.3,5.0,28.7,1.1,1.2,,,,0.8,0.5,1.3,0.101,,0.5,-0.4,0.1,0.3
10,1 season,,BUF,NBA,,13.0,130.0,13.3,0.504,0.558,2.5,7.4,5.0,21.3,1.1,2.0,18.3,20.1,,0.1,0.1,0.1,0.053,,-1.4,-0.2,-1.6,0.1
