,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,29.0,NOB,ABA,SF,78.0,3113.0,21.2,0.492,0.014,0.43,,,10.9,10.2,,9.4,24.9,,5.1,4.2,9.4,0.144,
1,1968-69,30.0,OAK,ABA,SF,75.0,2528.0,16.8,0.5,0.011,0.362,,,10.7,8.0,,11.3,21.7,,2.6,2.2,4.8,0.091,
2,1969-70,31.0,CAR,ABA,SF,80.0,2671.0,16.6,0.483,0.027,0.318,,,7.6,24.3,,15.6,24.1,,1.6,3.6,5.2,0.093,
3,1970-71,32.0,VIR,ABA,SF,78.0,2297.0,13.3,0.516,0.011,0.297,,,9.4,14.4,,15.7,17.9,,2.1,2.2,4.3,0.09,
4,1971-72,33.0,VIR,ABA,SF,67.0,1472.0,8.5,0.482,0.022,0.311,4.8,9.6,7.2,12.0,,19.2,14.3,,0.2,1.6,1.8,0.058,
5,Career,,,ABA,,378.0,12081.0,16.2,0.495,0.017,0.358,4.8,9.6,9.4,13.9,,13.1,21.4,,11.6,13.9,25.5,0.101,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,3 seasons,,"OAK,VIR",ABA,,220.0,6297.0,13.6,0.503,0.013,0.331,4.8,9.6,9.4,11.3,,14.2,18.6,,4.9,6.0,10.9,0.083,
8,1 season,,CAR,ABA,,80.0,2671.0,16.6,0.483,0.027,0.318,,,7.6,24.3,,15.6,24.1,,1.6,3.6,5.2,0.093,
9,1 season,,NOB,ABA,,78.0,3113.0,21.2,0.492,0.014,0.43,,,10.9,10.2,,9.4,24.9,,5.1,4.2,9.4,0.144,
