,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1971-72,24.0,HOU,NBA,PF,77.0,1815.0,12.1,0.442,0.254,,,12.6,8.9,,,,-1.1,2.9,1.8,0.048,,,,,
1,1972-73,25.0,HOU,NBA,PF,82.0,1694.0,10.5,0.438,0.209,,,13.7,6.7,,,,-0.9,1.3,0.4,0.012,,,,,
2,1973-74,26.0,HOU,NBA,PF,77.0,1754.0,13.0,0.449,0.181,6.3,20.3,13.4,10.0,1.4,2.3,,-0.5,1.7,1.2,0.033,,-2.2,-0.4,-2.6,-0.3
3,1974-75,27.0,HOU,NBA,PF,48.0,753.0,14.7,0.487,0.269,8.1,16.2,12.2,9.0,1.3,1.5,,0.4,0.6,1.0,0.067,,-1.7,-1.1,-2.8,-0.2
4,1975-76,28.0,TOT,NBA,PF,34.0,313.0,13.1,0.447,0.364,7.5,23.8,15.9,8.3,2.0,1.3,,-0.2,0.4,0.2,0.026,,-3.9,-0.2,-4.1,-0.2
5,1975-76,28.0,HOU,NBA,PF,14.0,174.0,12.0,0.415,0.198,7.7,24.2,16.2,8.1,2.4,1.2,,-0.2,0.2,0.0,-0.01,,-4.0,-0.4,-4.4,-0.1
6,1975-76,28.0,LAL,NBA,PF,20.0,139.0,14.5,0.492,0.627,7.1,23.3,15.5,8.6,1.6,1.4,,0.0,0.2,0.2,0.071,,-3.9,0.1,-3.8,-0.1
7,Career,,,NBA,,318.0,6329.0,12.3,0.449,0.229,6.9,19.6,13.2,8.6,1.4,2.0,,-2.3,7.0,4.6,0.035,,-2.3,-0.6,-2.9,-0.6
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5 seasons,,HOU,NBA,,298.0,6190.0,12.2,0.448,0.222,6.9,19.4,13.2,8.6,1.4,2.0,,-2.3,6.8,4.4,0.034,,-2.2,-0.6,-2.8,-0.6
10,1 season,,LAL,NBA,,20.0,139.0,14.5,0.492,0.627,7.1,23.3,15.5,8.6,1.6,1.4,,0.0,0.2,0.2,0.071,,-3.9,0.1,-3.8,-0.1
