,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,24.0,STL,NBA,SF,8.0,52.0,-0.8,0.293,,0.226,,,,2.6,,,,-0.3,0.0,-0.3,-0.263,
1,1968-69,25.0,TOT,TOT,SF,55.0,769.0,12.3,0.482,0.0,0.5,,,6.7,5.4,14.1,24.4,,0.4,0.5,0.9,0.058,
2,1968-69,25.0,TOT,ABA,SF,52.0,742.0,12.7,0.486,0.0,0.494,,,6.7,5.6,14.1,24.4,,0.5,0.5,1.0,0.065,
3,1968-69,25.0,MIL,NBA,SF,3.0,27.0,1.5,0.344,,0.7,,,,0.0,,,,-0.1,0.0,-0.1,-0.127,
4,1968-69,25.0,LAS,ABA,SF,11.0,248.0,11.8,0.445,0.0,0.504,,,5.9,5.4,9.3,25.3,,-0.1,0.1,0.0,-0.009,
5,1968-69,25.0,INA,ABA,SF,41.0,494.0,13.2,0.508,0.0,0.489,,,7.1,5.7,16.5,24.0,,0.6,0.4,1.0,0.102,
6,1969-70,26.0,INA,ABA,SF,52.0,415.0,12.2,0.497,0.006,0.341,,,8.7,5.5,12.7,20.2,,0.3,0.3,0.7,0.076,
7,1970-71,27.0,INA,ABA,SF,2.0,9.0,40.5,0.8,0.0,0.0,,,15.0,22.8,16.7,25.0,,0.1,0.0,0.1,0.513,
8,Career,,,TOT,,117.0,1245.0,11.9,0.479,0.002,0.434,,,7.5,5.4,13.7,23.0,,0.5,0.9,1.4,0.054,
9,,,,ABA,,106.0,1166.0,12.7,0.492,0.002,0.441,,,7.5,5.7,13.7,23.0,,0.9,0.9,1.7,0.072,
10,,,,NBA,,11.0,79.0,0.0,0.307,,0.341,,,,1.7,,,,-0.4,0.0,-0.4,-0.216,
11,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,INA,ABA,,95.0,918.0,13.0,0.507,0.002,0.421,,,7.9,5.8,15.0,22.3,,1.0,0.8,1.8,0.094,
13,1 season,,LAS,ABA,,11.0,248.0,11.8,0.445,0.0,0.504,,,5.9,5.4,9.3,25.3,,-0.1,0.1,0.0,-0.009,
14,1 season,,STL,NBA,,8.0,52.0,-0.8,0.293,,0.226,,,,2.6,,,,-0.3,0.0,-0.3,-0.263,
15,1 season,,MIL,NBA,,3.0,27.0,1.5,0.344,,0.7,,,,0.0,,,,-0.1,0.0,-0.1,-0.127,
