,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,23.0,DNR,ABA,SG,38.0,896.0,13.0,0.467,0.026,0.35,,,5.0,11.4,,9.7,19.0,,0.6,1.1,1.7,0.091,
1,1968-69,24.0,DNR,ABA,SG,69.0,2538.0,11.4,0.467,0.079,0.253,,,5.2,9.5,,11.7,20.2,,0.3,1.8,2.1,0.041,
2,1969-70,25.0,DNR,ABA,SG,79.0,2237.0,10.6,0.467,0.203,0.184,,,4.2,9.0,,8.6,18.7,,0.0,2.2,2.3,0.049,
3,1970-71,26.0,TOT,ABA,"PG,SG",72.0,1398.0,7.0,0.412,0.133,0.238,,,4.9,10.7,,10.8,17.8,,-1.8,0.9,-0.9,-0.031,
4,1970-71,26.0,DNR,ABA,PG,41.0,769.0,4.9,0.365,0.171,0.235,,,5.0,9.7,,10.6,18.4,,-1.9,0.6,-1.3,-0.083,
5,1970-71,26.0,FLO,ABA,SG,31.0,629.0,9.6,0.479,0.078,0.243,,,4.8,11.8,,11.2,17.0,,0.1,0.3,0.4,0.032,
6,1971-72,27.0,FLO,ABA,PG,77.0,1638.0,8.6,0.475,0.122,0.195,2.6,6.8,4.7,11.3,,12.0,17.5,,-0.1,0.8,0.7,0.022,
7,Career,,,ABA,,335.0,8707.0,10.1,0.46,0.123,0.232,2.6,6.8,4.8,10.1,,10.6,18.8,,-0.9,6.9,5.9,0.033,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,DNR,ABA,,227.0,6440.0,10.6,0.455,0.127,0.239,,,4.8,9.6,,10.3,19.3,,-0.9,5.7,4.8,0.035,
10,2 seasons,,FLO,ABA,,108.0,2267.0,8.9,0.476,0.11,0.209,2.6,6.8,4.7,11.5,,11.8,17.3,,0.0,1.2,1.2,0.025,
