,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,22.0,DLC,ABA,SG,78.0,2969.0,13.6,0.574,0.017,0.431,,,4.7,13.3,17.3,14.1,,6.9,1.1,8.0,0.13,
1,1968-69,23.0,DLC,ABA,SG,75.0,1719.0,10.8,0.51,0.03,0.379,,,4.2,16.9,17.9,15.9,,1.6,1.0,2.6,0.073,
2,1969-70,24.0,DLC,ABA,SG,80.0,2150.0,11.3,0.533,0.108,0.393,,,4.2,16.4,18.6,16.1,,2.8,1.3,4.1,0.091,
3,1970-71,25.0,TOT,ABA,SG,48.0,509.0,8.1,0.511,0.191,0.36,,,3.9,18.7,22.2,14.1,,0.3,0.4,0.7,0.068,
4,1970-71,25.0,TEX,ABA,SG,43.0,486.0,8.0,0.515,0.192,0.376,,,3.9,19.0,23.2,13.7,,0.3,0.4,0.7,0.071,
5,1970-71,25.0,FLO,ABA,SG,5.0,23.0,10.6,0.463,0.182,0.182,,,2.0,12.7,7.8,20.9,,0.0,0.0,0.0,0.008,
6,Career,,,ABA,,281.0,7347.0,11.9,0.541,0.061,0.402,,,4.4,15.4,18.2,15.1,,11.7,3.7,15.4,0.101,
7,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,"DLC,TEX",ABA,,276.0,7324.0,11.9,0.542,0.06,0.403,,,4.4,15.4,18.3,15.1,,11.7,3.7,15.4,0.101,
9,1 season,,FLO,ABA,,5.0,23.0,10.6,0.463,0.182,0.182,,,2.0,12.7,7.8,20.9,,0.0,0.0,0.0,0.008,
