,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,22.0,ANA,ABA,C,71.0,2266.0,13.1,0.491,0.001,0.492,,,11.4,4.7,13.2,16.0,,2.2,0.7,2.9,0.061,
1,1968-69,23.0,TOT,ABA,C,58.0,804.0,11.2,0.519,0.0,0.813,,,13.0,3.2,17.9,15.7,,0.8,0.6,1.4,0.085,
2,1968-69,23.0,DNR,ABA,C,23.0,225.0,9.8,0.518,0.0,1.186,,,11.8,1.1,19.0,18.4,,0.3,0.2,0.4,0.094,
3,1968-69,23.0,DLC,ABA,C,24.0,423.0,12.8,0.529,0.0,0.673,,,13.7,4.9,17.0,15.8,,0.5,0.3,0.8,0.092,
4,1968-69,23.0,HSM,ABA,C,11.0,156.0,8.6,0.483,0.0,0.613,,,12.8,1.7,18.6,11.2,,0.0,0.1,0.2,0.055,
5,Career,,,ABA,,129.0,3070.0,12.6,0.498,0.001,0.563,,,11.8,4.3,14.3,15.9,,3.0,1.3,4.3,0.067,
6,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,ANA,ABA,,71.0,2266.0,13.1,0.491,0.001,0.492,,,11.4,4.7,13.2,16.0,,2.2,0.7,2.9,0.061,
8,1 season,,DLC,ABA,,24.0,423.0,12.8,0.529,0.0,0.673,,,13.7,4.9,17.0,15.8,,0.5,0.3,0.8,0.092,
9,1 season,,DNR,ABA,,23.0,225.0,9.8,0.518,0.0,1.186,,,11.8,1.1,19.0,18.4,,0.3,0.2,0.4,0.094,
10,1 season,,HSM,ABA,,11.0,156.0,8.6,0.483,0.0,0.613,,,12.8,1.7,18.6,11.2,,0.0,0.1,0.2,0.055,
