,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1972-73,22.0,SEA,NBA,PG,12.0,99.0,12.3,0.566,0.696,,,2.9,21.0,,,,,,0.2,0.0,0.2,0.113,,,,,
1,1974-75,24.0,GSW,NBA,PG,67.0,756.0,14.8,0.528,0.447,7.8,10.9,9.4,16.9,2.4,0.1,,,,0.9,0.7,1.6,0.104,,-0.4,0.2,-0.2,0.3
2,1975-76,25.0,GSW,NBA,PG,82.0,1456.0,16.1,0.575,0.71,7.5,10.2,8.9,20.4,2.3,0.1,,,,2.6,2.0,4.6,0.151,,0.7,1.1,1.8,1.4
3,1976-77,26.0,GSW,NBA,PG,79.0,1682.0,15.7,0.557,0.482,7.1,10.7,8.9,25.5,1.8,0.2,,,,2.7,1.3,4.0,0.115,,1.3,-0.1,1.2,1.3
4,1977-78,27.0,GSW,NBA,PG,78.0,1660.0,13.4,0.585,0.783,5.2,12.6,8.8,29.8,1.9,0.1,32.7,11.8,,1.9,1.8,3.6,0.105,,-0.6,0.5,-0.1,0.8
5,1978-79,28.0,CHI,NBA,PG,43.0,684.0,6.4,0.411,0.336,4.0,9.7,6.9,20.9,2.2,0.1,30.8,12.1,,-0.7,0.6,-0.1,-0.009,,-4.3,0.7,-3.6,-0.3
6,Career,,,NBA,,361.0,6337.0,14.0,0.551,0.578,6.4,11.0,8.6,23.8,2.0,0.1,32.2,11.9,,7.6,6.4,14.0,0.106,,-0.2,0.5,0.3,3.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,GSW,NBA,,306.0,5554.0,15.0,0.564,0.601,6.7,11.1,8.9,24.3,2.0,0.1,32.7,11.8,,8.1,5.7,13.9,0.12,,0.3,0.4,0.8,3.9
9,1 season,,CHI,NBA,,43.0,684.0,6.4,0.411,0.336,4.0,9.7,6.9,20.9,2.2,0.1,30.8,12.1,,-0.7,0.6,-0.1,-0.009,,-4.3,0.7,-3.6,-0.3
10,1 season,,SEA,NBA,,12.0,99.0,12.3,0.566,0.696,,,2.9,21.0,,,,,,0.2,0.0,0.2,0.113,,,,,
