,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1954-55,22.0,SYR,NBA,PF,20,287,11.5,0.396,0.328,,,,,,-0.3,0.6,0.3,0.053,
1,1955-56,23.0,SYR,NBA,PF,70,895,8.3,0.41,0.286,,,,,,-0.3,1.3,1.0,0.053,
2,1956-57,24.0,SYR,NBA,PF,9,119,3.5,0.383,0.023,,,,,,-0.1,0.1,0.0,-0.009,
3,Career,,,NBA,,99,1301,8.5,0.404,0.271,,,,,,-0.7,2.0,1.3,0.047,
