,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1972-73,22.0,KCO,NBA,PF,74.0,1634.0,11.7,0.456,0.183,,,16.2,6.2,,,,-0.2,0.2,0.0,0.0,,,,,
1,1973-74,23.0,TOT,NBA,PF,48.0,591.0,10.9,0.425,0.188,8.7,23.0,15.9,8.3,1.4,2.2,,-0.5,0.7,0.2,0.013,,-3.4,0.0,-3.4,-0.2
2,1973-74,23.0,KCO,NBA,PF,12.0,170.0,11.4,0.459,0.421,8.0,26.5,17.2,6.6,0.8,0.6,,-0.2,0.2,0.0,0.005,,-3.4,-0.8,-4.3,-0.1
3,1973-74,23.0,HOU,NBA,PF,36.0,421.0,10.7,0.41,0.097,9.0,21.6,15.4,9.0,1.6,2.8,,-0.3,0.5,0.1,0.017,,-3.3,0.3,-3.1,-0.1
4,1974-75,24.0,HOU,NBA,PF,77.0,1578.0,11.4,0.452,0.206,9.7,17.3,13.4,11.0,1.7,0.8,,0.2,1.4,1.6,0.048,,-1.5,-0.3,-1.8,0.1
5,1975-76,25.0,HOU,NBA,PF,65.0,1049.0,10.5,0.44,0.2,9.7,21.3,15.7,9.1,1.4,1.0,,-0.1,0.9,0.7,0.033,,-2.0,-0.2,-2.2,-0.1
6,Career,,,NBA,,264.0,4852.0,11.3,0.448,0.194,9.5,19.6,15.1,8.7,1.5,1.1,,-0.6,3.0,2.5,0.024,,-2.0,-0.2,-2.2,-0.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,HOU,NBA,,178.0,3048.0,11.0,0.441,0.187,9.6,19.3,14.5,10.1,1.6,1.1,,-0.2,2.7,2.5,0.039,,-1.9,-0.2,-2.1,-0.1
9,2 seasons,,KCO,NBA,,86.0,1804.0,11.7,0.456,0.203,8.0,26.5,16.3,6.3,0.8,0.6,,-0.3,0.3,0.0,0.0,,-3.4,-0.8,-4.3,-0.1
