,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1968-69,22.0,BAL,NBA,SF,28.0,154.0,14.9,0.471,,0.603,,,,10.3,,,,,0.1,0.2,0.3,0.092,
1,1969-70,23.0,TOT,NBA,SF,34.0,364.0,12.9,0.514,,0.511,,,,5.2,,,,,0.4,0.2,0.6,0.076,
2,1969-70,23.0,BAL,NBA,SF,15.0,67.0,15.9,0.557,,0.643,,,,5.8,,,,,0.2,0.1,0.2,0.162,
3,1969-70,23.0,DET,NBA,SF,19.0,297.0,12.2,0.503,,0.477,,,,5.1,,,,,0.2,0.1,0.4,0.057,
4,1970-71,24.0,DET,NBA,SF,56.0,1146.0,12.4,0.535,,0.516,,,9.7,6.6,,,,,1.8,0.9,2.6,0.11,
5,1971-72,25.0,TOT,TOT,SF,24.0,261.0,17.2,0.569,0.0,0.567,10.5,14.3,12.0,6.7,,17.1,17.1,,0.7,0.1,0.8,0.148,
6,1971-72,25.0,DET,NBA,SF,18.0,204.0,17.1,0.55,,0.549,,,11.9,7.8,,,,,0.5,0.0,0.5,0.121,
7,1971-72,25.0,DLC,ABA,SF,6.0,57.0,17.8,0.67,0.0,0.667,10.5,14.3,12.4,2.6,,17.1,17.1,,0.2,0.1,0.3,0.245,
8,Career,,,TOT,,142.0,1925.0,13.4,0.529,0.0,0.532,10.5,14.3,10.1,6.6,,17.1,17.1,,2.9,1.4,4.3,0.107,
9,,,,NBA,,136.0,1868.0,13.2,0.525,,0.529,,,10.0,6.8,,,,,2.7,1.3,4.0,0.103,
10,,,,ABA,,6.0,57.0,17.8,0.67,0.0,0.667,10.5,14.3,12.4,2.6,,17.1,17.1,,0.2,0.1,0.3,0.245,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,DET,NBA,,93.0,1647.0,13.0,0.531,,0.513,,,10.0,6.5,,,,,2.5,1.0,3.5,0.102,
13,2 seasons,,BAL,NBA,,43.0,221.0,15.2,0.495,,0.614,,,,8.9,,,,,0.3,0.3,0.5,0.113,
14,1 season,,DLC,ABA,,6.0,57.0,17.8,0.67,0.0,0.667,10.5,14.3,12.4,2.6,,17.1,17.1,,0.2,0.1,0.3,0.245,
