,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1963-64,24.0,CIN,NBA,PG,48.0,457.0,7.3,0.323,,0.293,,,,,,,,-1.4,0.5,-0.9,-0.096,
1,1964-65,25.0,CIN,NBA,PG,55.0,470.0,7.8,0.358,,0.28,,,,11.2,,,,-0.8,0.3,-0.6,-0.057,
2,1965-66,26.0,CIN,NBA,PG,50.0,478.0,10.3,0.409,,0.184,,,,16.8,,,,-0.4,0.4,0.0,-0.004,
3,1967-68,28.0,BOS,NBA,SG,65.0,782.0,8.6,0.439,,0.309,,,,11.2,,,,-0.3,1.2,0.9,0.055,
4,1968-69,29.0,INA,ABA,PG,18.0,346.0,7.7,0.375,0.017,0.265,,,8.4,18.7,16.6,16.1,,-0.5,0.4,-0.1,-0.013,
5,1969-70,30.0,INA,ABA,PG,70.0,1016.0,5.3,0.388,0.184,0.325,,,9.4,22.3,32.2,13.4,,-0.9,1.3,0.4,0.02,
6,1970-71,31.0,INA,ABA,PG,8.0,92.0,1.7,0.373,0.176,0.059,,,10.8,8.8,31.4,10.4,,-0.1,0.1,0.0,0.011,
7,Career,,,TOT,,314.0,3641.0,7.4,0.388,0.037,0.275,,,9.2,16.3,27.6,13.9,,-4.5,4.2,-0.3,-0.004,
8,,,,NBA,,218.0,2187.0,8.5,0.389,,0.268,,,,12.7,,,,-3.0,2.3,-0.6,-0.014,
9,,,,ABA,,96.0,1454.0,5.6,0.383,0.127,0.292,,,9.2,20.6,27.6,13.9,,-1.5,1.9,0.4,0.012,
10,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,CIN,NBA,,153.0,1405.0,8.5,0.365,,0.248,,,,14.0,,,,-2.6,1.1,-1.5,-0.052,
12,3 seasons,,INA,ABA,,96.0,1454.0,5.6,0.383,0.127,0.292,,,9.2,20.6,27.6,13.9,,-1.5,1.9,0.4,0.012,
13,1 season,,BOS,NBA,,65.0,782.0,8.6,0.439,,0.309,,,,11.2,,,,-0.3,1.2,0.9,0.055,
