,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1965-66,23.0,DET,NBA,C,42,713,13.3,0.448,0.478,,,,6.8,,0.0,0.9,0.9,0.062,
1,Career,,,NBA,,42,713,13.3,0.448,0.478,,,,6.8,,0.0,0.9,0.9,0.062,
