,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1962-63,22.0,STL,NBA,SG,77.0,1845.0,13.2,0.473,,0.369,,,,,,,,1.0,2.4,3.4,0.09,
1,1963-64,23.0,STL,NBA,SG,68.0,1340.0,11.5,0.483,,0.275,,,,,,,,1.3,1.1,2.3,0.084,
2,1964-65,24.0,STL,NBA,SG,75.0,1965.0,11.8,0.474,,0.298,,,,11.8,,,,1.8,1.7,3.4,0.084,
3,1965-66,25.0,TOT,NBA,PG,56.0,1219.0,10.3,0.437,,0.304,,,,15.3,,,,-0.2,1.0,0.8,0.031,
4,1965-66,25.0,STL,NBA,PG,19.0,445.0,10.0,0.433,,0.323,,,,11.3,,,,-0.2,0.3,0.1,0.01,
5,1965-66,25.0,DET,NBA,PG,37.0,774.0,10.5,0.44,,0.291,,,,17.6,,,,-0.1,0.8,0.7,0.044,
6,1966-67,26.0,DET,NBA,SG,51.0,680.0,9.1,0.425,,0.327,,,,14.2,,,,-0.4,0.7,0.4,0.026,
7,1967-68,27.0,PTP,ABA,SG,74.0,2858.0,13.7,0.479,0.304,0.308,,,4.4,7.3,10.0,22.2,,3.0,1.9,4.9,0.082,
8,1968-69,28.0,MNP,ABA,SG,69.0,2301.0,11.7,0.467,0.447,0.281,,,3.2,6.7,10.2,22.6,,0.3,2.0,2.3,0.049,
9,1969-70,29.0,PTP,ABA,SG,21.0,401.0,11.2,0.484,0.456,0.389,,,3.0,7.3,9.8,21.0,,0.2,0.2,0.4,0.045,
10,Career,,,TOT,,491.0,12609.0,12.1,0.47,0.186,0.309,,,3.8,9.6,10.1,22.3,,6.9,11.0,18.0,0.068,
11,,,,NBA,,327.0,7049.0,11.6,0.465,,0.315,,,,13.4,,,,3.5,6.9,10.4,0.071,
12,,,,ABA,,164.0,5560.0,12.7,0.474,0.376,0.302,,,3.8,7.0,10.1,22.3,,3.5,4.2,7.6,0.066,
13,,,,,,,,,,,,,,,,,,,,,,,
14,4 seasons,,STL,NBA,,239.0,5595.0,12.1,0.472,,0.317,,,,11.7,,,,3.9,5.4,9.3,0.08,
15,3 seasons,,"PTP,MNP",ABA,,164.0,5560.0,12.7,0.474,0.376,0.302,,,3.8,7.0,10.1,22.3,,3.5,4.2,7.6,0.066,
16,2 seasons,,DET,NBA,,88.0,1454.0,9.8,0.434,,0.307,,,,16.0,,,,-0.4,1.5,1.1,0.035,
