,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1968-69,23.0,PHI,NBA,C,27.0,177.0,7.6,0.385,,0.266,,,,5.5,,,,,,-0.3,0.3,0.0,-0.001,
1,1969-70,24.0,TOT,ABA,C,80.0,2356.0,13.0,0.509,0.001,0.374,,,14.7,9.0,,,20.7,18.6,,2.1,2.6,4.7,0.096,
2,1969-70,24.0,PTP,ABA,C,34.0,789.0,7.2,0.463,0.0,0.428,,,13.8,8.8,,,28.8,17.4,,0.0,0.7,0.7,0.043,
3,1969-70,24.0,LAS,ABA,C,46.0,1567.0,15.9,0.527,0.002,0.353,,,15.1,9.1,,,16.9,19.1,,2.2,1.9,4.0,0.123,
4,1970-71,25.0,MMP,ABA,C,56.0,1102.0,9.3,0.466,0.003,0.321,,,11.7,10.5,,,21.3,16.1,,-0.1,1.8,1.7,0.073,
5,1971-72,26.0,FLO,ABA,C,64.0,889.0,8.9,0.491,0.013,0.335,6.7,24.5,15.5,10.0,,,25.9,15.3,,0.2,0.8,1.0,0.055,
6,1972-73,27.0,TOT,ABA,C,14.0,168.0,6.9,0.376,0.0,0.359,12.9,29.6,21.0,5.2,,,24.9,13.6,,-0.3,0.3,0.0,0.013,
7,1972-73,27.0,SDA,ABA,C,8.0,135.0,9.0,0.4,0.0,0.387,13.9,32.3,22.8,5.6,,,24.9,13.6,,-0.2,0.3,0.1,0.035,
8,1972-73,27.0,INA,ABA,C,6.0,33.0,-1.5,0.282,0.0,0.25,8.6,18.8,13.9,3.6,,,25.3,13.5,,-0.1,0.0,-0.1,-0.077,
9,Career,,,TOT,,241.0,4692.0,10.9,0.488,0.003,0.351,7.7,25.3,14.3,9.3,,,21.8,17.1,,1.7,5.8,7.5,0.076,
10,,,,ABA,,214.0,4515.0,11.0,0.492,0.004,0.355,7.7,25.3,14.3,9.4,,,21.8,17.1,,1.9,5.5,7.5,0.079,
11,,,,NBA,,27.0,177.0,7.6,0.385,,0.266,,,,5.5,,,,,,-0.3,0.3,0.0,-0.001,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,1 season,,FLO,ABA,,64.0,889.0,8.9,0.491,0.013,0.335,6.7,24.5,15.5,10.0,,,25.9,15.3,,0.2,0.8,1.0,0.055,
14,1 season,,MMP,ABA,,56.0,1102.0,9.3,0.466,0.003,0.321,,,11.7,10.5,,,21.3,16.1,,-0.1,1.8,1.7,0.073,
15,1 season,,LAS,ABA,,46.0,1567.0,15.9,0.527,0.002,0.353,,,15.1,9.1,,,16.9,19.1,,2.2,1.9,4.0,0.123,
16,1 season,,PTP,ABA,,34.0,789.0,7.2,0.463,0.0,0.428,,,13.8,8.8,,,28.8,17.4,,0.0,0.7,0.7,0.043,
17,1 season,,PHI,NBA,,27.0,177.0,7.6,0.385,,0.266,,,,5.5,,,,,,-0.3,0.3,0.0,-0.001,
18,1 season,,SDA,ABA,,8.0,135.0,9.0,0.4,0.0,0.387,13.9,32.3,22.8,5.6,,,24.9,13.6,,-0.2,0.3,0.1,0.035,
19,1 season,,INA,ABA,,6.0,33.0,-1.5,0.282,0.0,0.25,8.6,18.8,13.9,3.6,,,25.3,13.5,,-0.1,0.0,-0.1,-0.077,
