,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1973-74,22.0,SEA,NBA,PG,62.0,1424.0,14.7,0.429,0.304,4.7,7.9,6.2,32.1,3.5,0.5,,,,-0.5,1.6,1.2,0.039,,-1.6,1.0,-0.6,0.5
1,1974-75,23.0,SEA,NBA,PG,82.0,2056.0,15.2,0.45,0.278,4.7,8.4,6.5,31.7,4.2,0.3,,,,-0.1,2.8,2.7,0.063,,-1.2,1.8,0.6,1.3
2,1975-76,24.0,SEA,NBA,PG,82.0,2776.0,17.2,0.457,0.339,4.1,9.6,6.8,32.2,4.2,0.3,,,,0.9,3.8,4.7,0.08,,0.3,1.5,1.8,2.6
3,1976-77,25.0,SEA,NBA,PG,79.0,2627.0,16.3,0.449,0.289,3.0,9.2,6.0,34.0,3.7,0.5,,,,-0.3,3.6,3.3,0.06,,-0.2,0.9,0.7,1.8
4,1977-78,26.0,TOT,NBA,PG,71.0,1584.0,10.9,0.423,0.28,3.7,7.6,5.6,24.8,3.1,1.0,21.1,19.1,,-1.3,2.1,0.8,0.025,,-2.6,1.3,-1.4,0.2
5,1977-78,26.0,SEA,NBA,PG,32.0,809.0,9.3,0.423,0.195,2.5,7.9,5.1,22.4,3.0,0.9,23.8,18.2,,-1.0,1.2,0.2,0.009,,-3.5,1.2,-2.3,-0.1
6,1977-78,26.0,NOJ,NBA,PG,39.0,775.0,12.7,0.423,0.36,4.9,7.2,6.1,27.3,3.1,1.1,18.7,19.9,,-0.3,0.9,0.7,0.041,,-1.7,1.3,-0.4,0.3
7,1978-79,27.0,HOU,NBA,PG,61.0,1046.0,11.3,0.439,0.295,3.7,7.0,5.4,27.2,3.2,0.7,21.7,12.3,,0.4,0.8,1.2,0.057,,-1.2,1.7,0.5,0.7
8,Career,,,NBA,,437.0,11513.0,14.9,0.444,0.301,3.9,8.6,6.2,31.0,3.7,0.5,21.3,16.4,,-0.8,14.7,13.8,0.058,,-0.9,1.3,0.5,7.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,SEA,NBA,,337.0,9692.0,15.5,0.447,0.297,3.9,8.9,6.3,31.8,3.9,0.4,23.8,18.2,,-1.0,12.9,11.9,0.059,,-0.8,1.3,0.5,6.2
11,1 season,,HOU,NBA,,61.0,1046.0,11.3,0.439,0.295,3.7,7.0,5.4,27.2,3.2,0.7,21.7,12.3,,0.4,0.8,1.2,0.057,,-1.2,1.7,0.5,0.7
12,1 season,,NOJ,NBA,,39.0,775.0,12.7,0.423,0.36,4.9,7.2,6.1,27.3,3.1,1.1,18.7,19.9,,-0.3,0.9,0.7,0.041,,-1.7,1.3,-0.4,0.3
