,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,25.0,PHW,BAA,PF,60,,,0.381,0.386,,,,,,13.0,3.3,16.3,,
1,1947-48,26.0,PHW,BAA,PF,43,,,0.332,0.31,,,,,,2.2,3.8,6.0,,
2,1948-49,27.0,PHW,BAA,PF,60,,,0.396,0.378,,,,,,4.2,3.4,7.7,,
3,1949-50,28.0,PHW,NBA,PF,68,,,0.346,0.348,,,,,,-4.4,3.7,-0.8,,
4,1950-51,29.0,PHW,NBA,PF,66,,,0.398,0.325,,,,,,-0.2,4.5,4.3,,
5,1951-52,30.0,PHW,NBA,PF,61,1904.0,11.9,0.381,0.281,,,,,,-2.5,0.7,-1.8,-0.045,
6,1952-53,31.0,PHW,NBA,PF,70,2085.0,11.6,0.392,0.241,,,,,,-1.8,1.2,-0.6,-0.015,
7,1953-54,32.0,PHW,NBA,PF,61,501.0,3.8,0.299,0.214,,,,,,-2.2,0.4,-1.8,-0.171,
8,Career,,,TOT,,489,4490.0,10.9,0.374,0.329,,,,,,8.3,20.9,29.2,-0.045,
9,,,,NBA,,326,4490.0,10.9,0.375,0.299,,,,,,-11.1,10.4,-0.7,-0.045,
10,,,,BAA,,163,,,0.373,0.362,,,,,,19.4,10.5,30.0,,
