,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1972-73,23.0,LAL,NBA,PG,59.0,828.0,12.7,0.481,0.203,,,6.3,15.5,,,,,,0.5,1.0,1.5,0.088,,,,,
1,1973-74,24.0,LAL,NBA,PG,82.0,2628.0,15.5,0.486,0.195,4.3,8.6,6.6,20.3,2.6,0.5,,,,2.2,2.8,5.0,0.091,,-0.2,0.4,0.2,1.5
2,1974-75,25.0,TOT,NBA,PG,50.0,1870.0,16.1,0.5,0.271,3.5,7.3,5.4,22.0,2.8,0.7,,,,1.9,1.8,3.7,0.095,,-0.1,0.7,0.7,1.3
3,1974-75,25.0,LAL,NBA,PG,9.0,339.0,19.7,0.511,0.269,4.8,7.3,6.1,29.2,2.8,0.4,,,,0.6,0.2,0.8,0.111,,1.5,0.0,1.5,0.3
4,1974-75,25.0,MIL,NBA,PG,41.0,1531.0,15.4,0.497,0.271,3.2,7.3,5.3,20.4,2.8,0.7,,,,1.4,1.6,2.9,0.092,,-0.4,0.9,0.5,1.0
5,1975-76,26.0,MIL,NBA,PG,80.0,2525.0,13.7,0.454,0.173,3.1,7.5,5.4,21.9,2.7,0.7,,,,0.3,2.3,2.6,0.049,,-1.5,0.5,-1.0,0.7
6,1976-77,27.0,TOT,NBA,PG,81.0,1828.0,11.8,0.481,0.182,2.9,9.9,6.5,18.7,3.0,0.6,,,,0.1,2.5,2.7,0.07,,-2.7,1.8,-0.8,0.6
7,1976-77,27.0,MIL,NBA,PG,6.0,111.0,15.4,0.545,0.22,3.7,8.4,6.1,18.2,2.8,0.5,,,,0.2,0.1,0.2,0.108,,-1.6,0.5,-1.1,0.1
8,1976-77,27.0,BUF,NBA,PG,20.0,333.0,10.8,0.465,0.192,1.5,8.8,5.1,15.8,3.4,0.7,,,,-0.1,0.3,0.2,0.032,,-4.0,1.8,-2.2,0.0
9,1976-77,27.0,DEN,NBA,PG,55.0,1384.0,11.8,0.478,0.175,3.1,10.3,6.8,19.5,3.0,0.5,,,,0.1,2.1,2.2,0.076,,-2.4,1.9,-0.5,0.5
10,1977-78,28.0,TOT,NBA,PG,83.0,1929.0,12.2,0.495,0.258,3.1,10.6,7.0,18.1,2.6,0.2,19.3,17.9,,0.6,1.8,2.4,0.061,,-1.8,0.5,-1.3,0.3
11,1977-78,28.0,DEN,NBA,PG,49.0,1090.0,11.2,0.517,0.225,2.9,11.7,7.5,18.9,2.8,0.2,23.9,14.8,,0.1,1.1,1.3,0.056,,-2.2,0.9,-1.2,0.2
12,1977-78,28.0,DET,NBA,PG,34.0,839.0,13.5,0.478,0.284,3.4,9.1,6.3,17.1,2.4,0.3,15.3,22.0,,0.4,0.7,1.2,0.066,,-1.3,-0.1,-1.4,0.1
13,1978-79,29.0,LAL,NBA,PG,75.0,1207.0,12.3,0.524,0.23,2.5,8.3,5.5,21.9,2.5,0.5,20.9,15.9,,0.5,1.2,1.8,0.07,,-1.4,0.6,-0.8,0.4
14,Career,,,NBA,,510.0,12815.0,13.7,0.485,0.212,3.3,8.7,6.1,20.2,2.7,0.5,19.9,17.1,,6.2,13.5,19.7,0.074,,-1.2,0.7,-0.5,4.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,LAL,NBA,,225.0,5002.0,14.6,0.493,0.209,3.8,8.4,6.2,20.5,2.6,0.5,20.9,15.9,,3.8,5.2,9.0,0.087,,-0.4,0.4,0.0,2.1
17,3 seasons,,MIL,NBA,,127.0,4167.0,14.4,0.472,0.209,3.2,7.4,5.4,21.3,2.7,0.7,,,,1.8,3.9,5.8,0.066,,-1.1,0.6,-0.4,1.7
18,2 seasons,,DEN,NBA,,104.0,2474.0,11.5,0.494,0.196,3.0,10.9,7.1,19.2,2.9,0.4,23.9,14.8,,0.2,3.3,3.5,0.067,,-2.3,1.5,-0.8,0.7
19,1 season,,DET,NBA,,34.0,839.0,13.5,0.478,0.284,3.4,9.1,6.3,17.1,2.4,0.3,15.3,22.0,,0.4,0.7,1.2,0.066,,-1.3,-0.1,-1.4,0.1
20,1 season,,BUF,NBA,,20.0,333.0,10.8,0.465,0.192,1.5,8.8,5.1,15.8,3.4,0.7,,,,-0.1,0.3,0.2,0.032,,-4.0,1.8,-2.2,0.0
