,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,23.0,INA,ABA,PF,77.0,2045.0,14.0,0.485,0.001,0.325,,,11.6,5.1,12.8,19.9,,2.1,1.6,3.7,0.088,
1,1968-69,24.0,TOT,ABA,PF,77.0,1947.0,14.6,0.497,0.007,0.336,,,13.4,7.9,14.4,18.1,,1.5,2.1,3.6,0.09,
2,1968-69,24.0,NYA,ABA,PF,30.0,726.0,15.2,0.525,0.0,0.394,,,13.2,8.9,18.0,20.1,,1.1,0.5,1.5,0.102,
3,1968-69,24.0,KEN,ABA,PF,47.0,1221.0,14.3,0.478,0.011,0.299,,,13.5,7.3,11.8,16.9,,0.4,1.7,2.1,0.083,
4,1969-70,25.0,TOT,ABA,PF,69.0,819.0,8.9,0.424,0.015,0.266,,,14.0,7.7,18.3,20.2,,-0.8,1.1,0.3,0.018,
5,1969-70,25.0,KEN,ABA,PF,43.0,531.0,9.0,0.425,0.005,0.311,,,14.0,8.5,19.6,19.9,,-0.5,0.8,0.3,0.026,
6,1969-70,25.0,INA,ABA,PF,26.0,288.0,8.8,0.423,0.033,0.19,,,14.1,6.2,16.0,20.7,,-0.3,0.3,0.0,0.003,
7,Career,,,ABA,,223.0,4811.0,13.4,0.479,0.006,0.319,,,12.7,6.7,14.4,19.2,,2.8,4.9,7.7,0.077,
8,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,INA,ABA,,103.0,2333.0,13.4,0.478,0.005,0.308,,,11.9,5.2,13.2,20.0,,1.8,1.9,3.8,0.077,
10,2 seasons,,KEN,ABA,,90.0,1752.0,12.7,0.461,0.009,0.303,,,13.7,7.7,14.5,17.8,,-0.1,2.5,2.4,0.065,
11,1 season,,NYA,ABA,,30.0,726.0,15.2,0.525,0.0,0.394,,,13.2,8.9,18.0,20.1,,1.1,0.5,1.5,0.102,
