,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,24.0,INA,ABA,C,65.0,1203.0,11.6,0.464,0.009,0.555,,,14.1,3.3,,,14.4,15.3,,0.4,1.0,1.5,0.059,
1,1968-69,25.0,INA,ABA,C,64.0,1111.0,11.3,0.507,0.0,0.511,,,14.0,3.7,,,17.7,13.3,,0.8,1.3,2.1,0.09,
2,1969-70,26.0,CAR,ABA,C,83.0,2220.0,13.0,0.467,0.01,0.462,,,14.4,7.6,,,15.0,16.5,,0.1,3.1,3.2,0.069,
3,1970-71,27.0,CAR,ABA,C,82.0,2220.0,14.5,0.519,0.001,0.433,,,15.8,6.4,,,17.3,18.2,,2.1,2.0,4.1,0.089,
4,1971-72,28.0,DLC,ABA,C,6.0,125.0,9.7,0.486,0.0,0.44,12.0,16.3,14.1,5.4,,,23.2,12.9,,0.0,0.2,0.2,0.074,
5,1972-73,29.0,INA,ABA,C,9.0,56.0,1.1,0.372,0.0,0.786,5.1,19.0,12.3,8.6,,,24.2,16.7,,-0.1,0.1,0.0,-0.03,
6,Career,,,ABA,,309.0,6935.0,12.8,0.49,0.005,0.475,9.8,17.1,14.7,5.8,,,16.3,16.3,,3.3,7.7,11.0,0.076,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,CAR,ABA,,165.0,4440.0,13.7,0.495,0.005,0.447,,,15.1,7.0,,,16.3,17.4,,2.2,5.1,7.3,0.079,
9,3 seasons,,INA,ABA,,138.0,2370.0,11.2,0.48,0.005,0.54,5.1,19.0,14.0,3.6,,,16.1,14.4,,1.1,2.4,3.5,0.071,
10,1 season,,DLC,ABA,,6.0,125.0,9.7,0.486,0.0,0.44,12.0,16.3,14.1,5.4,,,23.2,12.9,,0.0,0.2,0.2,0.074,
