,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,25.0,DLC,ABA,C,20.0,369.0,12.7,0.563,0.0,0.697,,,14.6,0.7,15.3,14.3,,0.8,0.2,0.9,0.12,
1,1968-69,26.0,TOT,ABA,C,36.0,495.0,12.8,0.491,0.006,0.526,,,13.2,2.3,13.2,18.5,,0.3,0.4,0.7,0.067,
2,1968-69,26.0,DLC,ABA,C,24.0,377.0,14.2,0.492,0.007,0.479,,,13.4,2.4,12.0,20.2,,0.3,0.2,0.5,0.064,
3,1968-69,26.0,NOB,ABA,C,3.0,11.0,10.6,0.4,0.0,0.0,,,15.9,0.0,16.7,20.1,,0.0,0.0,0.0,-0.011,
4,1968-69,26.0,KEN,ABA,C,9.0,107.0,8.3,0.503,0.0,1.0,,,12.2,2.4,19.6,12.4,,0.1,0.1,0.2,0.084,
5,Career,,,ABA,,56.0,864.0,12.8,0.517,0.004,0.585,,,13.8,1.7,14.0,16.7,,1.1,0.5,1.6,0.09,
6,,,,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,DLC,ABA,,44.0,746.0,13.4,0.52,0.004,0.562,,,14.0,1.6,13.3,17.3,,1.0,0.4,1.4,0.092,
8,1 season,,KEN,ABA,,9.0,107.0,8.3,0.503,0.0,1.0,,,12.2,2.4,19.6,12.4,,0.1,0.1,0.2,0.084,
9,1 season,,NOB,ABA,,3.0,11.0,10.6,0.4,0.0,0.0,,,15.9,0.0,16.7,20.1,,0.0,0.0,0.0,-0.011,
