,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1964-65,22.0,BAL,NBA,PF,24.0,114.0,8.8,0.299,,0.219,,,,13.3,,,,,,-0.5,0.0,-0.5,-0.21,
1,1967-68,25.0,MNM,ABA,PF,75.0,2552.0,18.0,0.466,0.014,0.388,,,12.5,6.9,,,12.6,22.4,,1.8,6.6,8.4,0.158,
2,1968-69,26.0,MMF,ABA,PF,77.0,2537.0,16.1,0.507,0.005,0.418,,,13.7,7.0,,,14.8,21.2,,2.9,2.7,5.6,0.106,
3,1969-70,27.0,NYA,ABA,PF,79.0,2859.0,13.1,0.493,0.037,0.385,,,11.3,10.7,,,18.5,21.2,,2.0,3.0,4.9,0.083,
4,1970-71,28.0,TOT,ABA,PF,80.0,1525.0,13.2,0.501,0.076,0.346,,,14.1,8.0,,,17.0,20.9,,1.0,1.2,2.2,0.07,
5,1970-71,28.0,NYA,ABA,PF,5.0,110.0,-0.9,0.376,0.0,0.205,,,9.3,2.4,,,28.6,20.6,,-0.2,0.1,-0.2,-0.074,
6,1970-71,28.0,KEN,ABA,PF,75.0,1415.0,14.3,0.509,0.081,0.355,,,14.4,8.4,,,16.2,21.0,,1.2,1.2,2.4,0.081,
7,1971-72,29.0,KEN,ABA,PF,70.0,967.0,13.6,0.529,0.042,0.376,6.5,14.5,10.7,12.8,,,17.2,21.5,,1.3,1.4,2.7,0.134,
8,1972-73,30.0,MMT,ABA,PF,63.0,1333.0,13.4,0.54,0.07,0.285,6.7,15.5,11.0,10.0,,,15.1,18.2,,1.6,0.5,2.1,0.077,
9,Career,,,TOT,,468.0,11887.0,14.8,0.495,0.032,0.375,6.6,15.1,12.4,8.9,,,15.7,21.1,,10.0,15.5,25.5,0.103,
10,,,,ABA,,444.0,11773.0,14.9,0.498,0.033,0.377,6.6,15.1,12.4,8.8,,,15.7,21.1,,10.5,15.5,26.0,0.106,
11,,,,NBA,,24.0,114.0,8.8,0.299,,0.219,,,,13.3,,,,,,-0.5,0.0,-0.5,-0.21,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,"MNM,MMF",ABA,,152.0,5089.0,17.0,0.485,0.01,0.402,,,13.1,7.0,,,13.6,21.8,,4.6,9.3,14.0,0.132,
14,2 seasons,,KEN,ABA,,145.0,2382.0,14.0,0.517,0.066,0.363,6.5,14.5,12.9,10.2,,,16.6,21.2,,2.5,2.6,5.1,0.103,
15,2 seasons,,NYA,ABA,,84.0,2969.0,12.6,0.49,0.035,0.379,,,11.2,10.4,,,18.8,21.1,,1.8,3.0,4.8,0.077,
16,1 season,,MMT,ABA,,63.0,1333.0,13.4,0.54,0.07,0.285,6.7,15.5,11.0,10.0,,,15.1,18.2,,1.6,0.5,2.1,0.077,
17,1 season,,BAL,NBA,,24.0,114.0,8.8,0.299,,0.219,,,,13.3,,,,,,-0.5,0.0,-0.5,-0.21,
