,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,LAL,NBA,SF,81.0,1747.0,12.2,0.494,0.207,,,8.5,9.7,,,,,,1.2,1.3,2.5,0.07,,,,,
1,1971-72,23.0,LAL,NBA,SF,80.0,3050.0,14.3,0.517,0.208,,,7.6,8.8,,,,,,4.1,3.7,7.8,0.123,,,,,
2,1972-73,24.0,LAL,NBA,SF,81.0,2953.0,14.8,0.495,0.184,,,6.9,10.3,,,,,,3.1,3.3,6.4,0.104,,,,,
3,1973-74,25.0,BUF,NBA,SF,82.0,3322.0,15.6,0.552,0.312,6.6,11.5,9.1,10.1,1.7,0.4,,,,6.9,1.9,8.9,0.128,,1.6,-0.7,0.8,2.4
4,1974-75,26.0,BUF,NBA,SF,62.0,2132.0,14.7,0.557,0.332,6.3,11.8,9.2,9.9,1.4,0.3,,,,4.3,1.7,6.0,0.134,,1.3,-0.4,0.9,1.6
5,1975-76,27.0,BUF,NBA,SF,74.0,2610.0,15.3,0.578,0.239,5.5,9.9,7.8,11.3,1.5,0.3,,,,6.0,2.0,7.9,0.146,,1.9,-0.4,1.4,2.3
6,1976-77,28.0,NYK,NBA,SF,67.0,2158.0,9.9,0.488,0.134,3.3,11.5,7.5,8.2,1.3,0.1,,,,1.1,1.5,2.6,0.057,,-0.9,-0.2,-1.1,0.5
7,1977-78,29.0,NYK,NBA,SF,81.0,1977.0,12.5,0.507,0.215,4.3,10.7,7.6,12.8,1.7,0.4,13.2,15.1,,2.1,1.3,3.4,0.083,,-0.1,-0.2,-0.3,0.8
8,1978-79,30.0,POR,NBA,SF,23.0,278.0,11.9,0.499,0.284,6.3,9.3,7.8,15.3,1.7,0.6,16.1,14.1,,0.3,0.2,0.5,0.086,,-0.4,0.0,-0.4,0.1
9,Career,,,NBA,,631.0,20227.0,13.9,0.525,0.23,5.4,11.0,8.0,10.2,1.5,0.3,13.6,14.9,,29.1,16.9,46.0,0.109,,0.9,-0.4,0.4,7.7
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,LAL,NBA,,242.0,7750.0,14.0,0.504,0.198,,,7.5,9.6,,,,,,8.4,8.3,16.7,0.104,,,,,
12,3 seasons,,BUF,NBA,,218.0,8064.0,15.3,0.562,0.293,6.2,11.1,8.7,10.5,1.6,0.3,,,,17.2,5.6,22.8,0.136,,1.6,-0.5,1.0,6.2
13,2 seasons,,NYK,NBA,,148.0,4135.0,11.2,0.497,0.174,3.7,11.1,7.5,10.4,1.5,0.3,13.2,15.1,,3.3,2.7,6.0,0.069,,-0.5,-0.2,-0.7,1.3
14,1 season,,POR,NBA,,23.0,278.0,11.9,0.499,0.284,6.3,9.3,7.8,15.3,1.7,0.6,16.1,14.1,,0.3,0.2,0.5,0.086,,-0.4,0.0,-0.4,0.1
