,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1950-51,22.0,FTW,NBA,C,68.0,,,0.409,0.419,,,,,,0.9,3.6,4.5,,
1,1951-52,23.0,FTW,NBA,C,66.0,2615.0,21.3,0.45,0.398,,,,,,3.9,3.2,7.1,0.13,
2,1952-53,24.0,FTW,NBA,C,67.0,2303.0,20.5,0.448,0.538,,,,,,2.9,3.4,6.3,0.131,
3,1953-54,25.0,FTW,NBA,C,72.0,2693.0,23.0,0.483,0.517,,,,,,6.5,3.9,10.4,0.186,
4,1954-55,26.0,FTW,NBA,C,70.0,2264.0,23.5,0.57,0.627,,,,,,10.3,3.0,13.3,0.282,
5,1955-56,27.0,FTW,NBA,C,72.0,2024.0,23.8,0.547,0.676,,,,,,8.6,2.6,11.1,0.264,
6,1956-57,28.0,FTW,NBA,C,61.0,1533.0,19.4,0.484,0.616,,,,,,3.4,1.3,4.7,0.148,
7,1957-58,29.0,MNL,NBA,C,72.0,2200.0,20.0,0.491,0.576,,,,,,5.3,1.0,6.4,0.139,
8,1958-59,30.0,MNL,NBA,C,72.0,1933.0,16.1,0.473,0.475,,,,,,2.7,1.5,4.2,0.105,
9,1959-60,31.0,TOT,NBA,C,72.0,1964.0,15.0,0.484,0.418,,,,,,2.8,2.1,4.9,0.119,
10,1959-60,31.0,MNL,NBA,C,47.0,1398.0,14.6,0.46,0.379,,,,,,1.2,1.6,2.8,0.097,
11,1959-60,31.0,STL,NBA,C,25.0,566.0,16.1,0.555,0.541,,,,,,1.6,0.5,2.0,0.173,
12,1960-61,32.0,STL,NBA,C,68.0,1208.0,13.7,0.475,0.425,,,,,,1.3,1.8,3.1,0.124,
13,1961-62,33.0,STL,NBA,C,57.0,1153.0,14.8,0.541,0.411,,,,,,2.6,0.5,3.1,0.129,
14,Career,,,NBA,,817.0,21890.0,19.8,0.485,0.512,,,,,,51.1,28.0,79.2,0.164,
15,,,,,,,,,,,,,,,,,,,,
16,7 seasons,,FTW,NBA,,476.0,13432.0,22.0,0.483,0.532,,,,,,36.4,21.1,57.5,0.189,
17,3 seasons,,MNL,NBA,,191.0,5531.0,17.3,0.478,0.494,,,,,,9.3,4.1,13.4,0.116,
18,3 seasons,,STL,NBA,,150.0,2927.0,14.6,0.514,0.439,,,,,,5.5,2.8,8.3,0.136,
