,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,22.0,SFW,NBA,C,74.0,1247.0,13.9,0.447,0.33,,,,7.6,,,,-0.2,2.3,2.1,0.08,,,,,
1,1967-68,23.0,SFW,NBA,C,82.0,2699.0,13.4,0.468,0.375,,,,6.4,,,,0.5,4.6,5.1,0.09,,,,,
2,1968-69,24.0,SFW,NBA,PF,65.0,2237.0,12.3,0.442,0.38,,,,5.0,,,,-0.5,3.6,3.1,0.067,,,,,
3,1969-70,25.0,SFW,NBA,C,82.0,2641.0,12.0,0.473,0.365,,,,4.0,,,,0.0,3.5,3.5,0.064,,,,,
4,1970-71,26.0,SFW,NBA,C,82.0,1392.0,14.8,0.484,0.465,,,18.0,6.1,,,,0.7,1.5,2.2,0.075,,,,,
5,1971-72,27.0,GSW,NBA,PF,78.0,2674.0,12.3,0.492,0.408,,,18.9,4.0,,,,1.0,5.1,6.1,0.11,,,,,
6,1972-73,28.0,GSW,NBA,PF,66.0,1476.0,12.2,0.49,0.359,,,18.4,2.8,,,,0.7,2.6,3.4,0.109,,,,,
7,1973-74,29.0,GSW,NBA,PF,54.0,1642.0,9.8,0.483,0.377,11.1,23.1,17.2,4.8,0.7,0.5,,0.9,1.7,2.6,0.076,,-1.3,-0.6,-1.8,0.1
8,1974-75,30.0,TOT,NBA,"C,PF",80.0,2456.0,9.3,0.466,0.415,11.7,19.6,15.6,5.6,0.6,0.4,,1.1,2.1,3.2,0.063,,-2.0,-0.6,-2.6,-0.3
9,1974-75,30.0,ATL,NBA,PF,9.0,177.0,13.6,0.527,1.083,12.5,26.9,19.3,5.7,0.3,1.2,,0.3,0.2,0.4,0.115,,-1.6,-0.6,-2.2,0.0
10,1974-75,30.0,PHI,NBA,C,71.0,2279.0,8.9,0.459,0.353,11.6,19.0,15.3,5.5,0.6,0.4,,0.8,1.9,2.8,0.059,,-2.0,-0.6,-2.6,-0.3
11,1975-76,31.0,PHI,NBA,C,79.0,1421.0,9.9,0.477,0.337,11.2,19.6,15.4,5.3,0.7,1.0,,0.7,1.6,2.2,0.076,,-1.8,-0.5,-2.2,-0.1
12,Career,,,NBA,,742.0,19885.0,11.9,0.47,0.381,11.4,20.6,17.3,5.1,0.7,0.6,,4.8,28.7,33.5,0.081,,-1.7,-0.6,-2.3,-0.4
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8 seasons,,"SFW,GSW",NBA,,583.0,16008.0,12.5,0.47,0.38,11.1,23.1,18.2,5.0,0.7,0.5,,3.1,25.0,28.1,0.084,,-1.3,-0.6,-1.8,0.1
15,2 seasons,,PHI,NBA,,150.0,3700.0,9.3,0.467,0.346,11.4,19.2,15.3,5.4,0.6,0.6,,1.5,3.5,5.0,0.065,,-1.9,-0.5,-2.4,-0.4
16,1 season,,ATL,NBA,,9.0,177.0,13.6,0.527,1.083,12.5,26.9,19.3,5.7,0.3,1.2,,0.3,0.2,0.4,0.115,,-1.6,-0.6,-2.2,0.0
