,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1971-72,23.0,CHI,NBA,SF,67.0,730.0,13.8,0.459,0.191,,,11.9,5.0,,,,,,-0.2,1.4,1.1,0.076,,,,,
1,1972-73,24.0,CHI,NBA,PF,43.0,407.0,15.7,0.474,0.134,,,14.5,6.2,,,,,,0.2,0.8,1.0,0.112,,,,,
2,1973-74,25.0,CHI,NBA,SF,73.0,1229.0,15.4,0.483,0.175,7.1,17.1,12.0,4.4,0.9,1.7,,,,0.8,1.9,2.7,0.104,,-0.2,-0.7,-0.9,0.3
3,1974-75,26.0,TOT,NBA,SF,58.0,1163.0,13.4,0.524,0.192,7.4,16.3,11.9,2.5,0.9,1.2,,,,1.6,0.8,2.4,0.101,,0.0,-1.4,-1.4,0.2
4,1974-75,26.0,NYK,NBA,SF,17.0,133.0,8.4,0.413,0.25,10.1,19.9,14.9,2.0,1.0,0.4,,,,0.0,0.1,0.1,0.033,,-3.3,-0.7,-4.0,-0.1
5,1974-75,26.0,DET,NBA,SF,41.0,1030.0,14.0,0.535,0.186,7.1,15.9,11.5,2.5,0.9,1.3,,,,1.7,0.7,2.3,0.109,,0.4,-1.5,-1.0,0.3
6,1975-76,27.0,DET,NBA,SF,75.0,1482.0,13.0,0.494,0.153,5.6,15.2,10.3,2.4,1.0,1.3,,,,1.4,0.9,2.4,0.076,,-0.5,-1.4,-1.9,0.0
7,1976-77,28.0,DET,NBA,PF,78.0,2200.0,13.6,0.509,0.125,7.3,14.3,10.8,3.2,1.0,1.7,,,,2.7,1.4,4.1,0.089,,0.1,-1.4,-1.3,0.4
8,1977-78,29.0,TOT,NBA,SF,63.0,1323.0,17.4,0.528,0.244,7.0,13.8,10.3,4.9,1.0,1.5,7.3,21.2,,2.8,1.1,3.9,0.142,,1.5,-0.8,0.8,0.9
9,1977-78,29.0,DET,NBA,SF,8.0,107.0,7.0,0.391,0.163,5.0,11.6,8.3,2.5,1.2,2.4,9.8,18.3,,-0.1,0.1,0.0,-0.004,,-3.8,-0.4,-4.1,-0.1
10,1977-78,29.0,NJN,NBA,SF,55.0,1216.0,18.3,0.537,0.25,7.2,14.0,10.4,5.1,0.9,1.4,7.1,21.5,,2.9,1.0,3.9,0.155,,2.0,-0.8,1.2,1.0
11,Career,,,NBA,,457.0,8534.0,14.4,0.5,0.171,6.9,15.2,11.2,3.7,0.9,1.5,7.3,21.2,,9.3,8.3,17.6,0.099,,0.2,-1.2,-1.0,1.8
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4 seasons,,DET,NBA,,202.0,4819.0,13.4,0.506,0.146,6.7,14.8,10.7,2.8,1.0,1.5,9.8,18.3,,5.7,3.1,8.8,0.088,,-0.1,-1.4,-1.5,0.6
14,3 seasons,,CHI,NBA,,183.0,2366.0,15.0,0.474,0.173,7.1,17.1,12.4,4.9,0.9,1.7,,,,0.8,4.0,4.8,0.097,,-0.2,-0.7,-0.9,0.3
15,1 season,,NJN,NBA,,55.0,1216.0,18.3,0.537,0.25,7.2,14.0,10.4,5.1,0.9,1.4,7.1,21.5,,2.9,1.0,3.9,0.155,,2.0,-0.8,1.2,1.0
16,1 season,,NYK,NBA,,17.0,133.0,8.4,0.413,0.25,10.1,19.9,14.9,2.0,1.0,0.4,,,,0.0,0.1,0.1,0.033,,-3.3,-0.7,-4.0,-0.1
