,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1967-68,23.0,LAL,NBA,SF,38.0,434.0,11.0,0.499,0.387,,,,13.9,,,,0.3,0.4,0.7,0.076,,,,,
1,1970-71,26.0,PHO,NBA,SG,70.0,1091.0,9.4,0.498,0.351,,,6.4,13.5,,,,0.7,1.2,2.0,0.086,,,,,
2,1971-72,27.0,PHO,NBA,SG,51.0,419.0,7.3,0.452,0.366,,,7.4,16.1,,,,0.0,0.5,0.5,0.056,,,,,
3,1972-73,28.0,ATL,NBA,SG,28.0,504.0,6.8,0.483,0.181,,,5.5,9.1,,,,0.2,0.3,0.5,0.044,,,,,
4,1973-74,29.0,ATL,NBA,SG,70.0,1232.0,9.2,0.46,0.226,3.1,10.9,6.9,13.6,2.6,0.8,,-0.1,1.2,1.1,0.043,,-2.8,1.7,-1.1,0.3
5,1974-75,30.0,ATL,NBA,SG,63.0,785.0,12.2,0.509,0.377,4.0,10.6,7.1,13.0,2.9,0.5,,0.7,0.8,1.5,0.093,,-1.9,1.9,0.1,0.4
6,1975-76,31.0,PHO,NBA,SG,37.0,249.0,10.1,0.566,0.522,3.5,12.9,8.3,9.9,1.6,0.7,,0.2,0.2,0.4,0.083,,-2.4,0.4,-1.9,0.0
7,Career,,,NBA,,357.0,4714.0,9.5,0.49,0.324,3.5,11.0,6.8,13.1,2.6,0.7,,2.0,4.6,6.6,0.068,,-2.4,1.6,-0.8,0.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,ATL,NBA,,161.0,2521.0,9.7,0.483,0.275,3.5,10.8,6.7,12.5,2.7,0.7,,0.8,2.3,3.1,0.059,,-2.4,1.8,-0.6,0.7
10,3 seasons,,PHO,NBA,,158.0,1759.0,9.0,0.497,0.373,3.5,12.9,6.9,13.6,1.6,0.7,,0.9,1.9,2.9,0.078,,-2.4,0.4,-1.9,0.0
11,1 season,,LAL,NBA,,38.0,434.0,11.0,0.499,0.387,,,,13.9,,,,0.3,0.4,0.7,0.076,,,,,
