,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,30.0,PRO,BAA,,58.0,,,0.316,0.253,,,,,,1.1,0.0,1.1,,
1,1947-48,31.0,TOT,BAA,,45.0,,,0.333,0.305,,,,,,0.5,0.4,0.9,,
2,1947-48,31.0,PRO,BAA,,21.0,,,0.317,0.29,,,,,,0.1,-0.2,-0.1,,
3,1947-48,31.0,PHW,BAA,,24.0,,,0.377,0.348,,,,,,0.5,0.6,1.0,,
4,1948-49,32.0,BOS,BAA,,8.0,,,0.297,0.321,,,,,,-0.2,0.1,-0.1,,
5,Career,,,BAA,,111.0,,,0.319,0.265,,,,,,1.5,0.5,2.0,,
6,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,PRO,BAA,,79.0,,,0.316,0.259,,,,,,1.2,-0.2,1.0,,
8,1 season,,PHW,BAA,,24.0,,,0.377,0.348,,,,,,0.5,0.6,1.0,,
9,1 season,,BOS,BAA,,8.0,,,0.297,0.321,,,,,,-0.2,0.1,-0.1,,
