,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1973-74,23.0,NYK,NBA,PF,30.0,167.0,10.5,0.382,0.168,10.7,23.3,17.0,7.0,0.8,1.3,,-0.4,0.3,-0.2,-0.045,,-5.7,-1.1,-6.7,-0.3
1,1974-75,24.0,NYK,NBA,PF,62.0,903.0,12.6,0.418,0.177,8.0,29.5,18.6,8.8,0.8,0.5,,-0.7,1.1,0.4,0.024,,-2.0,-1.2,-3.2,-0.3
2,1975-76,25.0,NYK,NBA,PF,42.0,408.0,14.8,0.423,0.15,10.7,26.9,18.7,11.1,1.8,0.7,,-0.2,0.6,0.4,0.045,,-1.4,-0.3,-1.7,0.0
3,1976-77,26.0,TOT,NBA,PF,56.0,1094.0,10.7,0.397,0.196,8.9,18.8,13.7,9.7,1.3,0.3,,-1.5,1.2,-0.4,-0.016,,-3.3,-1.4,-4.7,-0.7
4,1976-77,26.0,NYK,NBA,PF,22.0,342.0,10.1,0.421,0.282,9.4,21.0,15.3,8.7,1.2,0.2,,-0.3,0.4,0.1,0.01,,-2.9,-0.7,-3.7,-0.2
5,1976-77,26.0,NYN,NBA,PF,34.0,752.0,11.0,0.389,0.169,8.7,17.7,13.0,10.2,1.4,0.3,,-1.2,0.8,-0.4,-0.027,,-3.5,-1.6,-5.1,-0.6
6,Career,,,NBA,,190.0,2572.0,12.0,0.407,0.18,9.0,24.1,16.4,9.4,1.2,0.5,,-2.9,3.2,0.3,0.006,,-2.7,-1.1,-3.8,-1.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,NYK,NBA,,156.0,1820.0,12.4,0.415,0.184,9.1,26.7,17.8,9.1,1.1,0.5,,-1.6,2.4,0.7,0.02,,-2.4,-0.9,-3.3,-0.7
9,1 season,,NYN,NBA,,34.0,752.0,11.0,0.389,0.169,8.7,17.7,13.0,10.2,1.4,0.3,,-1.2,0.8,-0.4,-0.027,,-3.5,-1.6,-5.1,-0.6
