,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1965-66,22.0,LAL,NBA,SF,30.0,171.0,3.9,0.307,,0.225,,,,8.0,,,,-0.7,0.1,-0.6,-0.166,
1,1967-68,24.0,ANA,ABA,SF,62.0,1311.0,15.0,0.479,0.006,0.323,,,11.1,7.5,12.7,22.3,,1.3,0.4,1.7,0.061,
2,1968-69,25.0,TOT,ABA,SF,63.0,717.0,9.2,0.464,0.099,0.432,,,7.9,6.8,17.5,21.2,,0.0,0.6,0.7,0.045,
3,1968-69,25.0,DNR,ABA,SF,11.0,135.0,6.0,0.449,0.0,0.706,,,6.1,8.2,25.2,16.5,,0.0,0.1,0.1,0.027,
4,1968-69,25.0,INA,ABA,SF,52.0,582.0,9.9,0.467,0.112,0.396,,,8.3,6.5,16.2,22.3,,0.1,0.5,0.6,0.05,
5,1969-70,26.0,TOT,ABA,SF,10.0,78.0,1.8,0.401,0.217,0.435,,,9.7,6.4,22.6,16.7,,-0.1,0.1,0.0,-0.007,
6,1969-70,26.0,INA,ABA,SF,3.0,26.0,-0.8,0.218,0.0,0.333,,,15.6,9.1,12.7,11.6,,-0.1,0.0,-0.1,-0.105,
7,1969-70,26.0,KEN,ABA,SF,7.0,52.0,3.1,0.463,0.294,0.471,,,6.7,5.0,25.4,19.2,,0.0,0.0,0.0,0.041,
8,Career,,,TOT,,165.0,2277.0,11.9,0.459,0.037,0.348,,,9.9,7.3,14.6,21.7,,0.5,1.3,1.8,0.037,
9,,,,ABA,,135.0,2106.0,12.6,0.472,0.041,0.36,,,9.9,7.2,14.6,21.7,,1.2,1.1,2.3,0.053,
10,,,,NBA,,30.0,171.0,3.9,0.307,,0.225,,,,8.0,,,,-0.7,0.1,-0.6,-0.166,
11,,,,,,,,,,,,,,,,,,,,,,,
12,1 season,,ANA,ABA,,62.0,1311.0,15.0,0.479,0.006,0.323,,,11.1,7.5,12.7,22.3,,1.3,0.4,1.7,0.061,
13,2 seasons,,INA,ABA,,55.0,608.0,9.5,0.461,0.109,0.395,,,8.6,6.6,16.1,21.8,,0.0,0.6,0.5,0.043,
14,1 season,,LAL,NBA,,30.0,171.0,3.9,0.307,,0.225,,,,8.0,,,,-0.7,0.1,-0.6,-0.166,
15,1 season,,DNR,ABA,,11.0,135.0,6.0,0.449,0.0,0.706,,,6.1,8.2,25.2,16.5,,0.0,0.1,0.1,0.027,
16,1 season,,KEN,ABA,,7.0,52.0,3.1,0.463,0.294,0.471,,,6.7,5.0,25.4,19.2,,0.0,0.0,0.0,0.041,
