,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,25.0,TOT,TOT,C,72.0,1850.0,12.9,0.448,0.011,0.31,,,14.8,11.6,16.6,14.9,,0.3,2.8,3.1,0.081,
1,1967-68,25.0,TOT,ABA,C,70.0,1843.0,13.0,0.449,0.011,0.31,,,14.8,11.6,16.6,14.9,,0.3,2.8,3.1,0.081,
2,1967-68,25.0,NYK,NBA,C,2.0,7.0,0.0,0.0,,0.0,,,,15.4,,,,0.0,0.0,0.0,-0.117,
3,1967-68,25.0,NJA,ABA,C,12.0,261.0,6.2,0.37,0.0,0.333,,,14.4,5.5,20.1,13.3,,-0.3,0.3,0.0,-0.006,
4,1967-68,25.0,KEN,ABA,C,58.0,1582.0,14.1,0.46,0.013,0.307,,,14.9,12.6,16.1,15.2,,0.6,2.5,3.2,0.096,
5,1968-69,26.0,KEN,ABA,C,65.0,1235.0,13.5,0.482,0.024,0.339,,,14.9,14.9,18.1,16.0,,0.5,2.1,2.6,0.102,
6,Career,,,TOT,,137.0,3085.0,13.2,0.462,0.016,0.322,,,14.8,12.9,17.2,15.4,,0.8,4.9,5.7,0.089,
7,,,,ABA,,135.0,3078.0,13.2,0.463,0.016,0.322,,,14.8,12.9,17.2,15.4,,0.8,4.9,5.7,0.089,
8,,,,NBA,,2.0,7.0,0.0,0.0,,0.0,,,,15.4,,,,0.0,0.0,0.0,-0.117,
9,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,KEN,ABA,,123.0,2817.0,13.8,0.47,0.018,0.321,,,14.9,13.6,17.0,15.6,,1.1,4.6,5.8,0.098,
11,1 season,,NJA,ABA,,12.0,261.0,6.2,0.37,0.0,0.333,,,14.4,5.5,20.1,13.3,,-0.3,0.3,0.0,-0.006,
12,1 season,,NYK,NBA,,2.0,7.0,0.0,0.0,,0.0,,,,15.4,,,,0.0,0.0,0.0,-0.117,
