,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1970-71,23.0,BAL,NBA,SG,50.0,226.0,1.7,0.326,,0.243,,,5.3,4.0,,,,,-1.0,0.2,-0.8,-0.164,
1,1971-72,24.0,TOT,TOT,SG,40.0,553.0,5.3,0.372,0.004,0.158,6.1,5.8,6.4,8.1,,21.6,19.8,,-1.5,0.4,-1.1,-0.096,
2,1971-72,24.0,BAL,NBA,SG,28.0,471.0,7.2,0.385,,0.153,,,6.5,9.0,,,,,-1.1,0.4,-0.8,-0.079,
3,1971-72,24.0,NYA,ABA,SG,12.0,82.0,-6.0,0.276,0.033,0.2,6.1,5.8,5.9,3.0,,21.6,19.8,,-0.4,0.0,-0.3,-0.195,
4,Career,,,TOT,,90.0,779.0,4.2,0.357,0.003,0.184,6.1,5.8,6.1,6.9,,21.6,19.8,,-2.5,0.6,-1.9,-0.116,
5,,,,NBA,,78.0,697.0,5.4,0.365,,0.183,,,6.1,7.4,,,,,-2.1,0.5,-1.5,-0.107,
6,,,,ABA,,12.0,82.0,-6.0,0.276,0.033,0.2,6.1,5.8,5.9,3.0,,21.6,19.8,,-0.4,0.0,-0.3,-0.195,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,BAL,NBA,,78.0,697.0,5.4,0.365,,0.183,,,6.1,7.4,,,,,-2.1,0.5,-1.5,-0.107,
9,1 season,,NYA,ABA,,12.0,82.0,-6.0,0.276,0.033,0.2,6.1,5.8,5.9,3.0,,21.6,19.8,,-0.4,0.0,-0.3,-0.195,
