,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,22.0,BOS,NBA,,64,,,0.442,0.623,,,,,,3.2,1.3,4.5,,
1,1950-51,23.0,BOS,NBA,,57,,,0.417,0.511,,,,,,0.8,0.5,1.3,,
2,Career,,,NBA,,121,,,0.432,0.576,,,,,,4.0,1.8,5.8,,
