,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,27.0,NOB,ABA,PG,78.0,2807.0,10.5,0.475,0.099,0.499,,,3.8,24.5,,24.4,19.0,,2.6,4.0,6.6,0.112,
1,1968-69,28.0,OAK,ABA,PG,77.0,2381.0,11.6,0.53,0.05,0.537,,,4.4,27.5,,27.5,17.3,,3.3,2.5,5.8,0.116,
2,1969-70,29.0,WSA,ABA,PG,82.0,2766.0,12.1,0.537,0.046,0.514,,,3.9,26.9,,25.4,18.0,,4.1,1.0,5.1,0.088,
3,1970-71,30.0,TOT,ABA,PG,63.0,1343.0,9.2,0.508,0.062,0.662,,,3.6,28.5,,30.0,16.4,,0.9,1.5,2.4,0.086,
4,1970-71,30.0,VIR,ABA,PG,29.0,530.0,9.0,0.555,0.019,0.856,,,4.1,25.4,,33.8,14.4,,0.6,0.5,1.1,0.104,
5,1970-71,30.0,DNR,ABA,PG,34.0,813.0,9.3,0.485,0.081,0.576,,,3.3,30.5,,28.0,17.7,,0.3,1.0,1.3,0.074,
6,1971-72,31.0,DNR,ABA,PG,76.0,2012.0,12.6,0.519,0.045,0.439,2.3,5.2,3.7,34.5,,24.6,16.4,,1.8,3.2,5.0,0.118,
7,Career,,,ABA,,376.0,11309.0,11.4,0.513,0.062,0.517,2.3,5.2,3.9,28.0,,26.0,17.6,,12.7,12.1,24.8,0.105,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,"OAK,WSA,VIR",ABA,,188.0,5677.0,11.6,0.535,0.046,0.545,,,4.1,27.0,,26.9,17.4,,8.0,4.0,12.0,0.101,
10,2 seasons,,DNR,ABA,,110.0,2825.0,11.7,0.509,0.056,0.48,2.3,5.2,3.6,33.4,,25.7,16.8,,2.1,4.1,6.2,0.106,
11,1 season,,NOB,ABA,,78.0,2807.0,10.5,0.475,0.099,0.499,,,3.8,24.5,,24.4,19.0,,2.6,4.0,6.6,0.112,
