,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1971-72,21.0,CIN,NBA,SG,81.0,2173.0,11.2,0.461,0.178,,,8.5,11.8,,,,,,-0.2,0.7,0.4,0.009,,,,,
1,1972-73,22.0,KCO,NBA,SG,80.0,1979.0,12.9,0.504,0.152,,,8.9,9.2,,,,,,2.3,0.1,2.5,0.06,,,,,
2,1973-74,23.0,KCO,NBA,SF,82.0,2513.0,15.5,0.5,0.203,4.9,9.4,7.2,11.3,2.7,0.7,,,,1.9,2.1,4.0,0.077,,-0.6,0.2,-0.4,1.0
3,1974-75,24.0,TOT,NBA,SG,85.0,1945.0,17.5,0.52,0.223,5.3,12.5,8.8,12.7,2.2,0.8,,,,2.4,2.1,4.5,0.112,,0.7,0.1,0.8,1.4
4,1974-75,24.0,KCO,NBA,SG,50.0,1131.0,16.1,0.493,0.202,5.3,11.1,8.2,11.7,2.2,1.1,,,,0.8,1.3,2.1,0.087,,-0.2,-0.1,-0.3,0.5
5,1974-75,24.0,NOJ,NBA,SG,35.0,814.0,19.5,0.559,0.252,5.2,14.5,9.7,14.2,2.4,0.4,,,,1.7,0.8,2.5,0.146,,2.0,0.4,2.4,0.9
6,1975-76,25.0,NOJ,NBA,SF,81.0,1935.0,15.9,0.493,0.252,6.9,11.7,9.3,8.8,2.5,0.5,,,,1.8,2.4,4.3,0.106,,-0.3,0.1,-0.1,0.9
7,1976-77,26.0,NOJ,NBA,SF,79.0,1776.0,14.7,0.486,0.212,5.9,10.7,8.3,8.1,1.9,0.5,,,,1.0,1.8,2.8,0.077,,-0.9,-0.6,-1.4,0.3
8,1977-78,27.0,TOT,NBA,SG,73.0,1249.0,14.8,0.466,0.167,5.1,11.1,8.1,9.0,2.1,1.4,9.6,26.7,,0.4,1.5,1.9,0.073,,-1.3,-0.2,-1.6,0.1
9,1977-78,27.0,NOJ,NBA,SG,27.0,434.0,14.4,0.458,0.173,6.1,13.7,10.0,11.3,2.1,1.4,9.8,22.3,,0.3,0.5,0.8,0.091,,-1.2,0.7,-0.5,0.2
10,1977-78,27.0,GSW,NBA,SG,46.0,815.0,15.0,0.47,0.165,4.6,9.7,7.1,7.8,2.0,1.4,9.6,29.1,,0.1,0.9,1.1,0.063,,-1.4,-0.8,-2.1,0.0
11,1978-79,28.0,GSW,NBA,SG,81.0,1299.0,14.7,0.542,0.206,5.6,11.6,8.6,6.7,2.0,0.2,13.1,22.2,,1.4,1.5,2.9,0.107,,-0.9,-0.1,-1.0,0.3
12,Career,,,NBA,,642.0,14869.0,14.6,0.495,0.2,5.6,11.1,8.4,10.0,2.3,0.7,11.2,24.4,,11.1,12.2,23.3,0.075,,-0.5,-0.1,-0.5,4.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4 seasons,,"CIN,KCO",NBA,,293.0,7796.0,13.8,0.489,0.184,5.0,9.9,8.1,11.0,2.5,0.8,,,,4.8,4.2,9.0,0.055,,-0.5,0.1,-0.4,1.5
15,4 seasons,,NOJ,NBA,,222.0,4959.0,15.9,0.498,0.23,6.2,12.0,9.1,9.7,2.3,0.5,9.8,22.3,,4.8,5.6,10.4,0.101,,-0.2,0.0,-0.2,2.3
16,2 seasons,,GSW,NBA,,127.0,2114.0,14.8,0.508,0.187,5.2,10.8,8.0,7.1,2.0,0.7,11.5,24.8,,1.5,2.4,4.0,0.09,,-1.1,-0.4,-1.5,0.3
