,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1977-78,23.0,GSW,NBA,SF,43,453,11.7,0.452,0.578,9.2,23.1,16.0,3.5,2.1,1.2,14.2,21.9,,-0.2,0.8,0.6,0.062,,-3.9,-0.6,-4.5,-0.3
1,1978-79,24.0,GSW,NBA,SF,31,360,5.3,0.447,0.748,5.3,13.5,9.4,4.0,1.7,0.8,21.2,23.3,,-0.9,0.4,-0.5,-0.061,,-7.1,-0.8,-7.9,-0.6
2,Career,,,NBA,,74,813,8.9,0.449,0.649,7.5,18.9,13.1,3.7,1.9,1.0,17.4,22.5,,-1.1,1.2,0.1,0.007,,-5.3,-0.7,-6.0,-0.9
