,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1966-67,23.0,NYK,NBA,C,13.0,75.0,11.7,0.397,,0.255,,,,3.9,,,,-0.2,0.0,-0.2,-0.099,
1,1967-68,24.0,TOT,ABA,C,46.0,535.0,18.6,0.467,0.013,0.271,,,13.8,11.4,9.4,19.6,,0.3,0.8,1.1,0.103,
2,1967-68,24.0,OAK,ABA,C,5.0,46.0,11.1,0.474,0.0,0.308,,,9.4,8.7,16.9,14.0,,0.0,0.0,0.0,0.038,
3,1967-68,24.0,HSM,ABA,C,41.0,489.0,19.3,0.466,0.014,0.269,,,14.2,11.6,8.8,20.2,,0.3,0.8,1.1,0.109,
4,Career,,,TOT,,59.0,610.0,17.8,0.454,0.011,0.268,,,13.8,10.4,9.4,19.6,,0.2,0.8,1.0,0.078,
5,,,,ABA,,46.0,535.0,18.6,0.467,0.013,0.271,,,13.8,11.4,9.4,19.6,,0.3,0.8,1.1,0.103,
6,,,,NBA,,13.0,75.0,11.7,0.397,,0.255,,,,3.9,,,,-0.2,0.0,-0.2,-0.099,
7,,,,,,,,,,,,,,,,,,,,,,,
8,1 season,,HSM,ABA,,41.0,489.0,19.3,0.466,0.014,0.269,,,14.2,11.6,8.8,20.2,,0.3,0.8,1.1,0.109,
9,1 season,,NYK,NBA,,13.0,75.0,11.7,0.397,,0.255,,,,3.9,,,,-0.2,0.0,-0.2,-0.099,
10,1 season,,OAK,ABA,,5.0,46.0,11.1,0.474,0.0,0.308,,,9.4,8.7,16.9,14.0,,0.0,0.0,0.0,0.038,
