,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,23.0,NYK,BAA,,11.0,,,0.394,0.25,,,,,,0.1,0.2,0.3,,
1,1949-50,24.0,NYK,NBA,,29.0,,,0.335,0.484,,,,,,-0.2,0.3,0.1,,
2,1950-51,25.0,TOT,NBA,,48.0,,,0.379,0.302,,,,,,-0.2,0.7,0.5,,
3,1950-51,25.0,NYK,NBA,,6.0,,,0.387,0.667,,,,,,0.0,0.0,0.0,,
4,1950-51,25.0,BLB,NBA,,42.0,,,0.379,0.297,,,,,,-0.2,0.7,0.5,,
5,Career,,,TOT,,88.0,,,0.373,0.329,,,,,,-0.3,1.2,0.8,,
6,,,,NBA,,77.0,,,0.369,0.341,,,,,,-0.4,1.0,0.5,,
7,,,,BAA,,11.0,,,0.394,0.25,,,,,,0.1,0.2,0.3,,
8,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,NYK,BAA,,46.0,,,0.36,0.391,,,,,,-0.1,0.5,0.4,,
10,1 season,,BLB,NBA,,42.0,,,0.379,0.297,,,,,,-0.2,0.7,0.5,,
