,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1953-54,23.0,SYR,NBA,C,67.0,899.0,9.9,0.365,0.358,,,,,,-1.6,1.7,0.1,0.007,
1,1954-55,24.0,BLB,NBA,C,13.0,194.0,,0.278,0.356,,,,,,,,,,
2,Career,,,NBA,,80.0,1093.0,9.9,0.353,0.357,,,,,,-1.6,1.7,0.1,0.005,
3,,,,,,,,,,,,,,,,,,,,
4,1 season,,SYR,NBA,,67.0,899.0,9.9,0.365,0.358,,,,,,-1.6,1.7,0.1,0.007,
5,1 season,,BLB,NBA,,13.0,194.0,,0.278,0.356,,,,,,,,,,
