,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,22.0,BOS,NBA,SG,48.0,383.0,10.4,0.415,0.294,,,,14.4,,,,-0.5,0.5,0.0,0.003,,,,,
1,1967-68,23.0,SDR,NBA,SG,47.0,1068.0,11.2,0.435,0.259,,,,17.1,,,,-0.6,0.8,0.3,0.012,,,,,
2,1968-69,24.0,SDR,NBA,SG,80.0,2346.0,14.7,0.473,0.284,,,,19.7,,,,1.6,3.2,4.8,0.098,,,,,
3,1969-70,25.0,SDR,NBA,SG,80.0,2105.0,16.0,0.513,0.367,,,,17.9,,,,2.6,2.7,5.4,0.122,,,,,
4,1970-71,26.0,POR,NBA,SG,78.0,2371.0,17.0,0.495,0.313,,,6.9,19.3,,,,2.7,2.0,4.7,0.094,,,,,
5,1971-72,27.0,GSW,NBA,PG,80.0,2200.0,14.1,0.475,0.319,,,5.1,19.7,,,,0.8,2.9,3.7,0.081,,,,,
6,1972-73,28.0,GSW,NBA,PG,82.0,2215.0,15.2,0.517,0.257,,,5.2,17.8,,,,3.3,2.8,6.1,0.132,,,,,
7,1973-74,29.0,GSW,NBA,SG,77.0,1689.0,16.4,0.517,0.299,4.3,8.0,6.2,16.8,1.5,0.3,,3.2,1.0,4.1,0.118,,0.9,-0.9,0.1,0.9
8,1974-75,30.0,TOT,NBA,SG,73.0,1776.0,13.2,0.508,0.365,3.3,7.0,5.1,14.7,1.2,0.5,,1.8,0.8,2.5,0.069,,-0.6,-1.0,-1.6,0.2
9,1974-75,30.0,NOJ,NBA,SG,45.0,1238.0,14.6,0.521,0.392,3.5,6.9,5.2,16.7,1.2,0.7,,1.5,0.5,2.1,0.08,,0.1,-1.0,-0.9,0.4
10,1974-75,30.0,NYK,NBA,SG,28.0,538.0,9.8,0.472,0.291,2.9,7.1,4.9,10.1,1.0,0.0,,0.2,0.2,0.5,0.042,,-2.2,-1.0,-3.2,-0.2
11,1975-76,31.0,NYK,NBA,SG,71.0,1026.0,12.5,0.496,0.307,4.7,4.1,4.4,12.4,1.1,0.2,,1.2,0.4,1.5,0.072,,-0.2,-1.1,-1.3,0.2
12,1976-77,32.0,PHI,NBA,SG,16.0,231.0,7.4,0.459,0.281,3.2,2.9,3.0,13.0,0.8,0.0,,0.0,0.1,0.1,0.014,,-3.4,-1.1,-4.4,-0.2
13,Career,,,NBA,,732.0,17410.0,14.6,0.492,0.309,4.0,6.5,5.6,17.6,1.2,0.3,,15.9,17.3,33.2,0.092,,-0.1,-1.0,-1.1,1.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3 seasons,,GSW,NBA,,239.0,6104.0,15.1,0.502,0.292,4.3,8.0,5.4,18.2,1.5,0.3,,7.3,6.6,13.9,0.109,,0.9,-0.9,0.1,0.9
16,3 seasons,,SDR,NBA,,207.0,5519.0,14.5,0.482,0.312,,,,18.5,,,,3.6,6.8,10.4,0.091,,,,,
17,2 seasons,,NYK,NBA,,99.0,1564.0,11.6,0.488,0.302,4.1,5.1,4.6,11.6,1.1,0.1,,1.4,0.6,2.0,0.062,,-0.9,-1.1,-1.9,0.0
18,1 season,,POR,NBA,,78.0,2371.0,17.0,0.495,0.313,,,6.9,19.3,,,,2.7,2.0,4.7,0.094,,,,,
19,1 season,,BOS,NBA,,48.0,383.0,10.4,0.415,0.294,,,,14.4,,,,-0.5,0.5,0.0,0.003,,,,,
20,1 season,,NOJ,NBA,,45.0,1238.0,14.6,0.521,0.392,3.5,6.9,5.2,16.7,1.2,0.7,,1.5,0.5,2.1,0.08,,0.1,-1.0,-0.9,0.4
21,1 season,,PHI,NBA,,16.0,231.0,7.4,0.459,0.281,3.2,2.9,3.0,13.0,0.8,0.0,,0.0,0.1,0.1,0.014,,-3.4,-1.1,-4.4,-0.2
