,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1964-65,22.0,BAL,NBA,SF,41.0,335.0,13.1,0.494,,0.568,,,,7.6,,,,0.4,0.1,0.5,0.067,
1,1965-66,23.0,BAL,NBA,SF,3.0,15.0,18.0,0.451,,0.667,,,,8.3,,,,0.0,0.0,0.0,0.057,
2,1967-68,25.0,OAK,ABA,PF,49.0,1052.0,21.0,0.548,0.009,0.643,,,11.9,7.3,12.5,22.3,,3.2,0.3,3.4,0.157,
3,1968-69,26.0,OAK,ABA,PF,75.0,2249.0,19.7,0.566,0.007,0.427,,,11.3,5.4,12.4,21.5,,6.1,1.9,8.0,0.171,
4,1969-70,27.0,WSA,ABA,PF,60.0,1239.0,18.5,0.554,0.008,0.431,,,11.9,6.4,14.4,24.3,,3.2,0.4,3.6,0.138,
5,1970-71,28.0,TOT,ABA,,26.0,321.0,12.7,0.469,0.016,0.457,,,14.2,5.4,14.1,19.7,,0.0,0.3,0.3,0.038,
6,1970-71,28.0,CAR,ABA,,7.0,114.0,8.2,0.416,0.022,0.4,,,16.3,2.2,18.5,20.6,,-0.2,0.1,-0.1,-0.025,
7,1970-71,28.0,TEX,ABA,,19.0,207.0,15.1,0.497,0.012,0.488,,,13.0,7.2,11.5,19.1,,0.1,0.2,0.3,0.072,
8,Career,,,TOT,,254.0,5211.0,18.8,0.55,0.008,0.477,,,11.8,6.2,13.1,22.2,,12.8,3.0,15.8,0.145,
9,,,,ABA,,210.0,4861.0,19.2,0.553,0.008,0.472,,,11.8,6.0,13.1,22.2,,12.4,2.9,15.3,0.151,
10,,,,NBA,,44.0,350.0,13.3,0.492,,0.573,,,,7.6,,,,0.4,0.1,0.5,0.067,
11,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,"OAK,WSA",ABA,,184.0,4540.0,19.7,0.558,0.008,0.473,,,11.6,6.1,13.0,22.4,,12.5,2.6,15.1,0.159,
13,2 seasons,,BAL,NBA,,44.0,350.0,13.3,0.492,,0.573,,,,7.6,,,,0.4,0.1,0.5,0.067,
14,1 season,,TEX,ABA,,19.0,207.0,15.1,0.497,0.012,0.488,,,13.0,7.2,11.5,19.1,,0.1,0.2,0.3,0.072,
15,1 season,,CAR,ABA,,7.0,114.0,8.2,0.416,0.022,0.4,,,16.3,2.2,18.5,20.6,,-0.2,0.1,-0.1,-0.025,
