,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,22.0,KEN,ABA,SF,75.0,2325.0,15.3,0.486,0.002,0.47,,,12.8,8.5,17.5,20.9,,2.6,3.1,5.7,0.119,
1,1968-69,23.0,TOT,ABA,PF,79.0,2353.0,10.3,0.48,0.002,0.397,,,10.8,6.1,20.0,18.9,,0.9,1.7,2.6,0.053,
2,1968-69,23.0,KEN,ABA,PF,31.0,759.0,7.3,0.46,0.004,0.402,,,10.5,6.5,24.1,19.0,,0.0,0.9,0.9,0.054,
3,1968-69,23.0,NYA,ABA,PF,48.0,1594.0,11.7,0.489,0.002,0.395,,,10.9,5.9,18.0,18.9,,0.9,0.8,1.8,0.053,
4,1969-70,24.0,CAR,ABA,PF,84.0,2558.0,11.7,0.491,0.005,0.345,,,12.4,9.0,20.2,17.6,,1.3,3.4,4.7,0.088,
5,1970-71,25.0,CAR,ABA,PF,83.0,2353.0,12.2,0.517,0.01,0.302,,,11.9,6.3,15.9,16.4,,2.0,1.7,3.7,0.075,
6,Career,,,ABA,,321.0,9589.0,12.3,0.493,0.005,0.381,,,12.0,7.5,18.5,18.4,,6.8,9.9,16.7,0.084,
7,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,CAR,ABA,,167.0,4911.0,11.9,0.503,0.007,0.324,,,12.2,7.7,18.2,17.0,,3.3,5.1,8.4,0.082,
9,2 seasons,,KEN,ABA,,106.0,3084.0,13.4,0.481,0.003,0.455,,,12.2,8.0,19.1,20.4,,2.6,4.0,6.6,0.103,
10,1 season,,NYA,ABA,,48.0,1594.0,11.7,0.489,0.002,0.395,,,10.9,5.9,18.0,18.9,,0.9,0.8,1.8,0.053,
